pk_item_id,item,item_category
222,organizing_planning_and_prioritizing_work,act
223,scheduling_work_and_activities,act
224,thinking_creatively,act
225,updating_and_using_relevant_knw,act
226,documenting_recording_information,act
227,drafting_laying_out_and_specifying_technical_devices_parts_and_equipment,act
228,repairing_and_maintaining_electronic_equipment,act
229,repairing_and_maintaining_mechanical_equipment,act
230,working_with_computers,act
231,controlling_machines_and_processes,act
232,handling_and_moving_objectives,act
233,operating_vehicles_mechanized_devices_or_equipment,act
234,performing_general_physical_activities,act
