code,employment,employment2,occupation,code.variants,career_cluster,entry_level_education,typical_on_the_job_training,annual_wage_2021,projected_growth_2020.2030,active_listening.l,active_learning.l,critical_thinking.l,monitoring.l,complex_problem_solving.l,time_management.l,social_perceptiveness.l,judgment_and_decision.l,systems_evaluation.l,programming.l,operations_analysis.l,problem_sensitivity.l,fluency_of_ideas.l,originality.l,deductive_reasoning.l,inductive_reasoning.l,information_ordering.l,written_expression.l,oral_expression.l,oral_comprehension.l,written_comprehension.l,freedom_to_make_decisions.l,installation.l,equipment_selection.l,equipment_maintenance.l,troubleshooting.l,repairing.l,finger_dexterity.l,manual_dexterity.l,wrist_finger_speed.l,visual_color_discrimination.l,exposed_to_hazardous_conditions.l,repairing_and_maintaining_electronic_equipment.l,repairing_and_maintaining_mechanical_equipment.l,basic.science.l,therapy_and_counseling.l,medicine_and_dentistry.l,chemistry.l,biology.l,psychology.l,deal_with_physically_aggressive_people.l,exposed_to_disease_or_infections.l,exposed_to_radiation.l,physical_proximity.l,consequence_of_error.l,assisting_and_caring_for_others.l,spatial_orientation.l,sound_localization.l,glare_sensitivity.l,night_vision.l,peripheral_vision.l,transportation.l,exposed_to_whole_body_vibrations.l,extremely_bright_or_inadequate_lighting.l,very_hot_or_cold_temperatures.l,exposed_to_high_places.l,in_a_enclosed_vehicle_or_equipment.l,in_an_open_vehicle_or_equipment.l,indoors_not_environmentally_controlled.l,outdoors_exposed_to_weather.l,outdoors_under_cover.l,operating_vehicles_mechanized_devices_or_equipment.l,management_of_financial_resources.l,management_of_material_resources.l,management_of_personal_resources.l,coordination.l,administration_and_management.l,personnel_and_human_resources.l,responsibility_for_outcomes_and_results.l,monitoring_and_controlling_resources.l,staffing_organizational_units.l,resolving_conflicts_and_negotiating_with_others.l,coaching_and_developing_others.l,coordinating_the_work_and_activities_of_others.l,developing_and_building_teams.l,guiding_directing_and_motivating_subordinates.l,training_and_teaching_others.l,scheduling_work_and_activities.l,service_orientation.l,speech_recognition.l,face_to_face_discussions.l,telephone.l,contact_with_others.l,deal_with_unpleasant_or_angry_people.l,frequency_of_conflict_situations.l,coordinate_or_lead_others.l,deal_with_external_customers.l,work_with_work_group_or_team.l,frequency_of_decision_making.l,identifying_objectives_actions_and_events.l,getting_information.l,monitoring_processes_materials_or_surroundings.l,interpreting_the_meaning_of_information_for_others.l,providing_consultation_and_advice_to_others.l,analysing_data_or_information.l,evaluating_information_to_determine_compliance_with_standards.l,judging_the_qualities_of_objects_services_or_people.l,processing_information.l,developing_objectives_and_strategies.l,making_decisions_and_solving_problems.l,organizing_planning_and_prioritizing_work.l,thinking_creatively.l,updating_and_using_relevant_knowledge.l,documenting_recording_information.l,working_with_computers.l,negotiation.l,persuasion.l,economics_and_accounting.l,customer_and_personal_service.l,sales_and_marketing.l,level_of_competition.l,communicating_with_people_outside_the_organization.l,performing_for_or_working_directly_with_the_public.l,selling_or_influencing_others.l,operations_monitoring.l,operation_and_control.l,time_sharing.l,selective_attention.l,explosive_strength.l,response_orientation.l,control_precision.l,multilimb_coordination.l,arm_hand_steadiness.l,reaction_time.l,auditory_attention.l,hearing_sensitivity.l,far_vision.l,depth_perception.l,administrative.l,computers_and_electronics.l,electronic_mail.l,time_pressure.l,importance_of_being_exact_or_accurate.l,importance_of_repeating_same_tasks.l,performing_administrative_activities.l,quality_control_analysis.l,technology_design.l,visualization.l,telecommunications.l,building_and_construction.l,engineering_and_technology.l,mechanical.l,design.l,public_safety_and_security.l,production_and_processing.l,physics.l,spent_time_climbing_ladders_scaffolds_or_poles.l,inspecting_equipment_structures_or_materials.l,drafting_laying_out_and_specifying_technical_devices_parts_and_equipment.l,basic.mathematics.l,systems_analysis.l,category_flexibility.l,perceptual_speed.l,flexibility_of_closure.l,speed_of_closure.l,number_facility.l,mathematical_reasoning.l,memorization.l,mathematics.l,rate_control.l,spend_time_using_your_hands_to_handle_control_or_feel_objects_tools_or_controls.l,exposed_to_contaminants.l,sounds_noise_levels_are_distracting_or_uncomfortable.l,exposed_to_hazardous_equipment.l,wear_common_protective_or_safety_equipment.l,wear_specialized_protective_or_safety_equipment.l,pace_determined_by_speed_of_equipment.l,controlling_machines_and_processes.l,handling_and_moving_objectives.l,learning_strategies.l,instructing.l,speech_clarity.l,english_language.l,history_and_archeology.l,philosophy_and_theology.l,fine_arts.l,communications_and_media.l,education_and_training.l,geography.l,sociology_and_anthropology.l,public_speaking.l,dynamic_flexibility.l,gross_body_equilibrium.l,extent_flexibility.l,gross_body_coordination.l,static_strength.l,dynamic_strength.l,trunk_strength.l,stamina.l,speed_of_limb_movement.l,responsible_for_others_health_and_safety.l,spend_time_bending_or_twisting_the_body.l,spend_time_keeping_or_regaining_balance.l,spend_time_kneeling_crouching_stooping_or_crawling.l,spend_time_making_repetitive_motions.l,spend_time_standing.l,spend_time_walking_and_running.l,cramped_work_space_awkward_positions.l,exposed_to_minor_burns_cuts_bites_or_stings.l,performing_general_physical_activities.l
15-2099,3970,3970,Bioinformatics Technicians,1,Government & Public Administration,Bachelor's degree,Long-term on-the-job training,62460,Much faster than average,52,55.00000000000001,54,50,48,43,43,50,50,43,0,55.00000000000001,50,46,54,55.00000000000001,52,59,63,63,64,77,0,0,0,0,0,32,0,0,34,12,35,12,48,0,37,35,72,30,16,11,5,59,42,24,0,0,0,0,0,0,2,4,3,5,8,1,9,4,6,0,14.000000000000002,14.000000000000002,34,43,47,25,66,27,20,28.000000000000004,50,39,31,30,53,38,41,50,80,41,72,21,25,48,46,83,42,78,84,69,76,52,90,55.00000000000001,66,93,45,80,68,82,87,67,75,39,41,0,35,25,59,43,36,23,36,0,39,46,0,0,0,0,0,0,21,21,43,13,44,86,97,60,82,53,35,0,0,45,19,0,42,0,48,18,25,31,2,26,41,55.00000000000001,50,55.00000000000001,46,52,41,48,59,41,86,0,30,22,36,5,21,1,3,23,20,41,46,46,67,0,0,0,24,48,15,0,30,0,0,0,0,0,0,0,0,0,32,7.000000000000001,3,7.000000000000001,48,18,10,7.000000000000001,6,16
17-1011,100400,100400,"Architects, Except Landscape and Naval",1,Architecture & Construction,Bachelor's degree,Internship/residency,80180,Slower than average,61,59,64,63,61,52,46,64,54,18,63,66,63,61,71,59,56.99999999999999,59,70,70,63,72,0,0,0,21,0,34,25,9,41,9,15,0,43,13,0,33,22,42,9,1,0,54,55.00000000000001,41,25,0,0,0,0,34,5,19,30,32,40,0,36,41,37,20,48,43,50,56.99999999999999,65,52,69,56.99999999999999,54,66,62,72,65,64,61,70,48,52,90,98,89,44,49,78,66,90,60,56.99999999999999,69,52,54,69,60,61,55.00000000000001,62,65,77,75,79,73,60,65,50,50,50,69,59,78,73,51,51,28.999999999999996,25,39,45,0,0,30,16,27,0,27,20,56.99999999999999,36,57.99999999999999,69,99,66,74,53,53,46,28.999999999999996,68,33,86,78,49,97,66,49,48,22,51,78,59,52,61,45,55.00000000000001,45,59,55.00000000000001,41,59,0,44,21,47,14.000000000000002,36,8,4,20,39,45,41,52,60,46,35,50,42,61,57.99999999999999,45,43,0,0,0,0,0,0,14.000000000000002,0,0,42,10,6,16,53,26,24,14.000000000000002,8,33
17-1012,17430,17430,Landscape Architects,1,Architecture & Construction,Bachelor's degree,Internship/residency,67950,Little or no change,56.99999999999999,54,55.00000000000001,50,54,54,55.00000000000001,54,54,11,54,55.00000000000001,55.00000000000001,55.00000000000001,55.00000000000001,55.00000000000001,55.00000000000001,55.00000000000001,56.99999999999999,59,56.99999999999999,73,0,0,0,16,0,27,25,0,37,2,25,15,41,20,12,42,60,43,8,1,0,48,37,35,0,0,0,0,0,48,3,18,28.999999999999996,8,55.00000000000001,6,30,50,30,24,41,41,45,55.00000000000001,63,53,66,62,60,70,61,72,63,68,54,76,45,55.00000000000001,90,96,87,39,46,72,74,89,62,65,72,60,50,69,63,66,57.99999999999999,62,68,78,83,84,69,54,62,43,50,41,64,59,64,76,64,56.99999999999999,28.999999999999996,23,43,46,0,0,27,13,25,0,20,28.999999999999996,45,28.999999999999996,60,63,99,71,76,44,56.99999999999999,30,16,59,26,77,70,40,87,61,31,41,3,43,81,45,48,56.99999999999999,41,43,32,45,45,34,61,0,47,20,28.999999999999996,10,33,2,10,24,35,43,43,55.00000000000001,57.99999999999999,51,43,61,42,51,68,52,46,0,0,0,0,0,0,9,0,0,46,8,4,6,45,32,23,8,10,38
17-1021,12610,12610,Cartographers and Photogrammetrists,1,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,68900,Average,50,48,54,45,45,45,41,45,39,16,11,48,43,43,55.00000000000001,56.99999999999999,50,55.00000000000001,56.99999999999999,59,59,77,0,14.000000000000002,7.000000000000001,20,0,41,28.999999999999996,9,43,4,34,20,21,0,0,0,0,13,5,0,0,54,38,27,9,0,0,0,0,31,1,24,20,4,31,3,13,26,5,24,11,9,30,43,48,34,54,35,0,47,31,54,43,31,48,56.00000000000001,39,45,90,92,80,28.000000000000004,40,77,81,86,59,65,67,56.00000000000001,48,47,60,62,48,75,48,60,62,64,76,54,56.99999999999999,30,30,0,44,0,43,63,56.99999999999999,0,25,5,37,41,0,0,41,0,39,0,28.999999999999996,21,50,28.999999999999996,51,70,97,74,97,63,43,30,11,48,25,19,43,0,61,21,38,0,5,41,42,45,41,52,43,50,41,45,43,41,61,0,78,28.000000000000004,52,4,8,1,0,42,18,43,43,43,59,18,0,0,41,56.00000000000001,89,0,32,0,0,11,0,0,9,20,0,0,20,19,2,14.000000000000002,63,21,10,11,9,16
17-1022,46390,23195,Geodetic Surveyors,2,Architecture & Construction,Bachelor's degree,Internship/residency,61600,Slower than average,56.99999999999999,55.00000000000001,56.99999999999999,55.00000000000001,55.00000000000001,50,43,54,46,43,25,54,46,45,56.99999999999999,59,56.99999999999999,56.99999999999999,64,68,68,75,0,34,23,27,23,39,32,16,36,14.000000000000002,43,36,52,13,9,20,13,24,10,5,6,40,40,28.999999999999996,34,14.000000000000002,14.000000000000002,16,14.000000000000002,31,11,28.999999999999996,35,24,56.00000000000001,19,26,70,24,41,27,27,50,45,50,41,60,49,44,51,55.00000000000001,71,51,61,61,63,36,46,83,88,76,28.999999999999996,40,55.00000000000001,55.00000000000001,79,57.99999999999999,73,83,70,69,67,84,75,64,87,54,78,64,66,82,80,68,32,34,33,51,34,41,69,54,39,36,39,39,46,0,25,41,37,39,18,30,28.999999999999996,54,34,54,72,95,57.99999999999999,94,84,57.99999999999999,43,21,52,43,33,74,34,60,28.000000000000004,34,61,14.000000000000002,63,55.00000000000001,68,46,54,45,61,39,59,70,43,81,20,63,28.000000000000004,39,34,46,16,26,46,53,50,45,46,56.99999999999999,26,16,0,39,59,77,21,34,0,16,18,23,27,13,30,18,7.000000000000001,49,26,21,22,44,45,38,20,44,54
17-1022,46390,23195,Surveyors,2,Architecture & Construction,Bachelor's degree,Internship/residency,61600,Slower than average,55.00000000000001,48,56.99999999999999,50,46,52,39,45,43,21,27,52,43,41,59,56.99999999999999,55.00000000000001,56.99999999999999,59,59,56.99999999999999,79,0,30,25,23,23,45,41,28.999999999999996,41,23,45,50,41,20,14.000000000000002,26,25,31,19,9,7.000000000000001,48,56.99999999999999,30,43,14.000000000000002,30,20,18,38,18,53,65,23,80,28.000000000000004,69,90,28.999999999999996,47,21,27,54,54,64,55.00000000000001,67,60,55.00000000000001,66,66,66,55.00000000000001,63,61,67,37,52,95,99,78,48,45,56.99999999999999,67,81,77,61,70,59,57.99999999999999,59,70,70,53,77,52,77,69,51,70,70,60,41,41,43,67,54,55.00000000000001,65,68,33,43,37,41,46,11,25,43,41,43,36,36,27,59,46,61,68,98,71,92,62,57.99999999999999,41,11,52,36,59,65,49,66,48,40,39,10,52,64,56.99999999999999,43,54,45,55.00000000000001,45,59,59,39,77,25,77,44,73,59,74,21,16,56.00000000000001,66,50,54,54,62,49,19,0,35,61,74,16,41,0,28.999999999999996,39,28.999999999999996,28.999999999999996,23,36,32,21,65,41,37,33,43,65,56.00000000000001,32,66,69
17-2011,56640,56640,Aerospace Engineers,1,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,122270,Average,59,55.00000000000001,66,55.00000000000001,61,50,45,55.00000000000001,55.00000000000001,0,71,59,56.99999999999999,59,68,61,56.99999999999999,68,68,70,73,84,0,0,0,36,0,28.999999999999996,0,0,43,21,34,27,73,0,0,33,0,0,2,0,0,50,44,23,0,0,0,0,0,40,1,10,13,9,21,0,42,14.000000000000002,19,23,20,14.000000000000002,43,50,42,32,57.99999999999999,35,28.000000000000004,41,53,51,44,43,57.99999999999999,59,39,50,98,85,81,35,49,73,61,87,50,79,75,72,72,72,83,60,64,91,51,83,76,88,86,73,76,43,45,22,45,18,46,59,0,33,43,0,39,45,0,0,0,0,0,0,37,37,45,25,44,66,100,64,75,34,33,55.00000000000001,54,48,22,31,87,64,77,30,56.99999999999999,69,6,55.00000000000001,68,68,56.99999999999999,56.99999999999999,45,46,37,54,68,37,80,0,22,28.000000000000004,53,32,59,5,8,44,40,54,46,45,62,0,0,0,26,38,11,10,35,0,0,0,0,0,0,9,0,0,35,7.000000000000001,0,9,27,24,18,10,8,28.000000000000004
17-2021,1120,1120,Agricultural Engineers,1,"Agriculture, Food & Natural Resources",Bachelor's degree,None,82640,Slower than average,56.99999999999999,55.00000000000001,61,54,63,52,46,56.99999999999999,55.00000000000001,23,46,61,52,50,61,59,56.99999999999999,63,66,59,70,81,0,20,13,30,11,32,13,0,41,20,51,53,48,11,12,63,65,36,6,5,7.000000000000001,45,47,37,13,11,9,11,11,46,12,22,36,16,63,34,53,56.99999999999999,50,41,34,37,43,46,57.99999999999999,51,60,64,52,61,62,66,56.99999999999999,60,60,66,43,48,88,91,76,37,49,63,60,85,73,71,74,69,60,70,77,64,59,80,62,76,75,77,80,60,63,43,45,41,57.99999999999999,46,59,70,54,48,46,32,41,45,7.000000000000001,11,28.999999999999996,27,14.000000000000002,25,39,32,43,37,48,70,99,62,78,47,49,36,43,48,31,66,87,65,77,52,56.00000000000001,76,13,67,74,56.99999999999999,55.00000000000001,56.99999999999999,45,46,39,55.00000000000001,56.99999999999999,37,79,11,34,36,43,34,48,21,10,41,52,45,46,45,63,28.000000000000004,20,0,35,57.99999999999999,56.99999999999999,35,43,0,7.000000000000001,11,7.000000000000001,9,7.000000000000001,14.000000000000002,9,0,62,17,16,17,25,32,23,23,23,46
17-2031,17190,17190,Bioengineers and Biomedical Engineers,1,Health Science,Bachelor's degree,None,97410,Average,63,68,68,59,66,52,50,68,56.99999999999999,50,63,68,59,68,68,68,56.99999999999999,64,70,71,70,78,41,39,41,48,37,41,25,18,43,36,52,36,66,26,62,71,80,37,5,32,19,49,52,35,0,0,0,0,0,14.000000000000002,1,9,7.000000000000001,1,15,4,16,7.000000000000001,8,11,32,41,46,50,62,40,56.99999999999999,57.99999999999999,47,49,57.99999999999999,67,67,62,64,67,45,52,91,85,76,30,38,59,43,89,56.00000000000001,82,83,74,74,71,82,67,63,83,68,83,78,88,86,70,70,43,50,30,49,44,61,66,27,41,48,28.999999999999996,30,46,0,7.000000000000001,36,13,34,11,28.999999999999996,30,46,30,40,84,100,63,76,40,49,54,56.99999999999999,54,41,21,93,69,83,33,55.00000000000001,78,3,57.99999999999999,68,66,55.00000000000001,64,46,55.00000000000001,48,55.00000000000001,63,37,83,5,34,26,31,18,42,23,9,49,33,59,56.99999999999999,46,65,0,12,0,41,59,0,15,38,0,0,13,0,0,0,13,0,0,53,5,3,6,24,28.000000000000004,18,12,5,23
17-2041,24180,24180,Chemical Engineers,1,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,105550,Average,56.99999999999999,64,70,55.00000000000001,63,54,45,64,61,41,64,66,55.00000000000001,59,70,66,66,59,63,71,71,77,0,34,0,50,0,27,0,14.000000000000002,50,52,38,36,73,0,14.000000000000002,90,49,20,5,11,13,45,69,27,0,0,0,0,0,28.000000000000004,4,19,33,26,35,4,50,31,39,18,39,41,50,52,53,39,61,51,43,55.00000000000001,62,73,69,61,61,72,43,54,96,89,74,26,46,66,40,88,56.99999999999999,78,77,77,79,75,83,62,62,87,55.00000000000001,75,78,84,82,71,68,43,45,45,42,40,63,60,28.000000000000004,49,50,23,34,48,0,0,14.000000000000002,0,16,18,36,30,54,28.999999999999996,34,76,100,61,82,36,42,52,45,54,19,45,94,62,84,51,71,82,17,69,71,66,56.99999999999999,70,52,55.00000000000001,43,59,61,39,84,14.000000000000002,28.999999999999996,49,50,39,73,36,7.000000000000001,37,22,52,48,45,56.00000000000001,10,0,0,32,53,37,0,40,0,0,0,0,0,0,13,0,0,84,8,5,14.000000000000002,25,32,24,20,12,23
17-2051,304310,101436.66666666667,Civil Engineers,3,Architecture & Construction,Bachelor's degree,None,88050,Average,56.99999999999999,66,66,55.00000000000001,59,56.99999999999999,50,56.99999999999999,56.99999999999999,27,64,68,56.99999999999999,56.99999999999999,70,56.99999999999999,56.99999999999999,56.99999999999999,71,71,71,73,0,0,13,9,23,23,0,7.000000000000001,37,12,18,12,56.99999999999999,0,0,41,21,20,7.000000000000001,4,4,44,61,21,21,0,0,0,0,49,7.000000000000001,25,31,30,49,11,44,45,28.999999999999996,17,48,43,50,54,64,50,62,59,56.00000000000001,57.99999999999999,63,76,68,63,56.00000000000001,73,43,56.99999999999999,94,98,80,32,48,64,64,85,75,61,66,56.99999999999999,54,66,67,67,56.99999999999999,73,55.00000000000001,83,77,69,71,56.00000000000001,59,43,46,46,66,54,57.99999999999999,69,50,44,30,7.000000000000001,39,45,0,0,16,7.000000000000001,0,0,37,36,52,37,47,59,100,75,85,55.00000000000001,44,36,36,59,16,76,92,41,85,54,28.999999999999996,61,19,65,74,68,59,59,54,54,52,56.99999999999999,68,41,73,0,28.999999999999996,22,43,24,49,20,4,14.000000000000002,21,52,43,54,63,18,13,0,31,48,49,15,33,0,0,0,0,0,0,11,0,0,48,13,6,17,33,30,26,17,12,28.999999999999996
17-2051,304310,101436.66666666667,Transportation Engineers,3,Architecture & Construction,Bachelor's degree,None,88050,Average,55.00000000000001,56.99999999999999,59,50,59,52,41,59,55.00000000000001,36,56.99999999999999,64,59,55.00000000000001,70,59,59,59,68,70,64,74,0,7.000000000000001,0,30,0,25,13,9,30,11,15,16,43,0,0,41,25,38,7.000000000000001,5,5,48,55.00000000000001,34,11,0,0,0,0,71,5,23,33,23,54,16,33,50,30,27,55.00000000000001,48,50,54,60,47,68,57.99999999999999,53,66,67,66,63,68,56.99999999999999,70,43,54,97,96,81,36,49,66,65,88,68,64,74,60,54,66,69,65,51,75,54,80,76,64,73,55.00000000000001,61,45,54,42,61,52,66,70,53,53,30,16,32,43,0,0,23,7.000000000000001,11,0,25,25,45,30,56.00000000000001,60,100,69,79,59,50,43,39,61,25,79,89,25,87,53,25,64,13,52,73,66,56.99999999999999,59,43,46,43,61,63,37,78,0,40,22,35,32,47,13,10,18,34,45,45,50,66,22,17,0,38,50,56.00000000000001,25,41,0,0,0,0,0,0,14.000000000000002,0,0,50,14.000000000000002,7.000000000000001,14.000000000000002,31,27,25,11,24,28.999999999999996
17-2051,304310,101436.66666666667,Water/Wastewater Engineers,3,"Agriculture, Food & Natural Resources",Bachelor's degree,None,88050,Average,56.99999999999999,56.99999999999999,59,56.99999999999999,68,55.00000000000001,43,59,59,36,55.00000000000001,63,56.99999999999999,55.00000000000001,70,59,56.99999999999999,59,68,70,66,72,0,14.000000000000002,0,32,0,18,0,0,34,18,17,15,0,0,0,66,65,20,4,19,3,47,32,24,7.000000000000001,0,0,0,0,30,4,24,31,18,52,6,34,47,30,24,39,39,52,52,64,50,60,50,53,60,66,71,66,66,57.99999999999999,71,41,46,92,94,79,28.000000000000004,47,64,61,84,57.99999999999999,62,69,63,61,72,75,69,55.00000000000001,73,65,81,80,69,77,60,55.00000000000001,43,45,47,56.99999999999999,55.00000000000001,65,72,50,42,43,28.999999999999996,41,45,0,0,13,5,0,0,28.999999999999996,27,46,28.999999999999996,49,57.99999999999999,99,68,72,35,47,48,46,56.99999999999999,20,72,91,62,88,47,35,67,10,55.00000000000001,72,64,59,56.99999999999999,43,52,43,56.99999999999999,64,41,73,0,14.000000000000002,34,37,25,42,18,8,22,18,54,52,46,66,11,0,0,28.999999999999996,50,43,10,45,0,0,0,0,0,0,7.000000000000001,0,0,54,11,5,7.000000000000001,31,26,21,13,14.000000000000002,27
17-2061,73750,73750,Computer Hardware Engineers,1,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,128170,Slower than average,55.00000000000001,59,59,46,59,43,39,55.00000000000001,56.99999999999999,39,56.99999999999999,56.99999999999999,55.00000000000001,56.99999999999999,61,59,59,59,59,68,64,81,16,39,30,45,30,37,27,11,39,11,73,21,46,0,0,33,13,25,1,1,3,45,41,35,0,0,0,0,0,16,1,6,8,2,14.000000000000002,4,13,9,8,14.000000000000002,18,21,37,45,51,38,53,55.00000000000001,48,54,61,61,62,59,64,64,39,43,87,79,74,23,39,63,41,84,39,74,79,67,70,74,81,73,61,82,65,81,75,85,85,72,85,30,39,28.999999999999996,38,37,73,61,22,41,43,11,27,43,0,0,23,0,32,0,28.999999999999996,21,37,20,38,93,98,67,85,53,44,43,39,55.00000000000001,56.99999999999999,0,91,37,83,40,50,66,2,57.99999999999999,75,48,50,59,43,45,32,46,48,41,82,0,37,11,31,5,19,4,8,40,26,45,50,45,63,0,0,0,37,63,14.000000000000002,0,34,0,0,5,0,0,0,14.000000000000002,0,0,42,8,6,7.000000000000001,35,27,15,7.000000000000001,8,19
17-2071,186020,186020,Electrical Engineers,1,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,100420,Average,56.99999999999999,48,56.99999999999999,50,54,46,45,46,48,21,46,61,52,48,56.99999999999999,56.99999999999999,56.99999999999999,59,64,63,68,80,0,27,28.999999999999996,43,34,34,25,7.000000000000001,39,31,59,27,50,0,0,38,0,22,1,1,1,48,46,38,0,0,0,0,0,18,1,15,22,12,16,5,30,20,15,24,36,37,43,46,48,31,63,46,28.999999999999996,48,47,53,38,42,52,54,43,46,92,89,78,24,36,65,59,88,70,66,68,63,56.99999999999999,55.00000000000001,72,65,56.00000000000001,74,49,75,72,72,77,61,62,41,41,26,49,26,48,60,26,41,43,0,41,45,0,0,27,0,27,0,30,28.999999999999996,43,28.999999999999996,51,76,99,63,82,46,33,41,28.999999999999996,46,25,31,84,55.00000000000001,74,30,47,57.99999999999999,7.000000000000001,54,65,56.99999999999999,46,50,41,45,32,52,56.99999999999999,34,71,0,23,25,48,25,62,8,8,39,35,43,43,45,56.99999999999999,0,11,0,28.999999999999996,56.99999999999999,26,0,26,0,0,0,0,0,0,9,0,0,40,8,3,10,30,27,17,12,13,35
17-2072,107170,53585,"Electronics Engineers, Except Computer",2,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,104820,Average,56.99999999999999,54,56.99999999999999,52,59,43,43,50,54,41,48,59,54,55.00000000000001,56.99999999999999,56.99999999999999,56.99999999999999,59,56.99999999999999,59,61,80,9,41,39,45,43,48,41,20,52,36,71,28.999999999999996,45,11,11,40,0,19,0,3,13,51,47,21,0,0,0,0,0,26,0,3,6,10,11,0,15,9,7.000000000000001,14.000000000000002,36,36,41,46,46,32,63,40,20,34,36,48,28.999999999999996,18,28.999999999999996,47,43,46,93,72,76,24,34,74,66,89,69,69,78,65,57.99999999999999,56.00000000000001,68,75,59,76,50,68,65,83,84,64,74,45,43,26,60,25,62,64,0,18,50,45,39,45,0,25,39,27,43,23,32,37,46,28.999999999999996,48,91,95,65,79,56.99999999999999,32,54,45,59,57.99999999999999,23,81,68,71,41,56.00000000000001,72,7.000000000000001,67,72,52,55.00000000000001,55.00000000000001,43,48,39,45,55.00000000000001,39,74,20,55.00000000000001,20,54,16,28.999999999999996,5,12,56.99999999999999,43,45,45,46,60,12,20,0,34,49,28.999999999999996,17,25,0,11,9,9,13,11,21,11,0,37,17,11,16,32,31,19,10,10,17
17-2072,107170,53585,Radio Frequency Identification Device Specialists,2,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,104820,Average,52,50,55.00000000000001,54,52,41,45,48,50,0,43,50,48,45,61,54,54,54,55.00000000000001,59,56.99999999999999,83,0,37,32,43,32,34,28.999999999999996,23,32,11,47,24,27,0,0,20,0,23,1,6,15,45,43,28.999999999999996,0,0,0,0,0,30,1,10,7.000000000000001,12,31,1,33,13,12,19,23,27,39,48,60,32,67,48,35,56.00000000000001,48,55.00000000000001,50,44,52,66,41,50,92,92,84,42,55.00000000000001,78,68,86,70,64,60,67,52,67,61,61,55.00000000000001,73,65,80,74,83,81,60,78,39,48,25,67,53,55.00000000000001,66,36,55.00000000000001,41,32,30,41,0,0,37,0,36,14.000000000000002,30,28.999999999999996,39,20,52,88,100,75,83,54,55.00000000000001,43,45,45,55.00000000000001,25,77,27,68,28.999999999999996,53,47,7.000000000000001,51,56.99999999999999,48,50,52,36,41,30,46,45,30,62,13,40,22,46,19,33,6,15,41,40,46,50,48,56.99999999999999,0,0,0,49,63,31,12,32,0,0,18,0,0,0,28.999999999999996,0,0,30,11,5,14.000000000000002,33,31,20,17,14.000000000000002,34
17-2081,42660,42660,Environmental Engineers,1,"Agriculture, Food & Natural Resources",Bachelor's degree,None,96820,Slower than average,59,59,61,61,59,55.00000000000001,46,61,56.99999999999999,16,34,61,55.00000000000001,56.99999999999999,61,64,56.99999999999999,68,63,66,66,69,0,0,0,21,0,16,0,7.000000000000001,36,31,37,36,52,10,12,68,60,25,6,16,14.000000000000002,44,44,40,0,0,0,0,0,31,10,28.999999999999996,41,23,59,16,43,53,46,34,34,34,43,56.99999999999999,62,44,65,66,51,70,64,75,63,64,57.99999999999999,65,39,54,91,93,75,33,44,67,56.00000000000001,82,56.99999999999999,64,71,69,61,67,71,74,57.99999999999999,76,62,79,76,67,74,57.99999999999999,57.99999999999999,46,48,34,57.99999999999999,44,56.00000000000001,67,56.00000000000001,48,41,25,39,45,0,0,0,5,0,0,23,21,43,21,31,56.00000000000001,99,64,63,28.999999999999996,50,41,11,48,19,56.00000000000001,83,56.00000000000001,73,52,34,66,16,63,61,56.99999999999999,55.00000000000001,55.00000000000001,43,48,41,54,56.99999999999999,45,71,0,22,50,48,27,53,28.000000000000004,7.000000000000001,38,32,45,45,59,64,22,0,0,36,51,51,23,35,0,0,0,0,0,0,14.000000000000002,0,0,80,16,9,17,20,36,26,18,18,38
17-2111,22870,11435,Fire-Prevention and Protection Engineers,2,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,99040,Average,56.99999999999999,55.00000000000001,59,48,56.99999999999999,55.00000000000001,43,56.99999999999999,55.00000000000001,23,56.99999999999999,59,55.00000000000001,55.00000000000001,61,56.99999999999999,56.99999999999999,56.99999999999999,59,56.99999999999999,56.99999999999999,80,0,21,0,39,0,27,0,0,43,23,23,18,55.00000000000001,0,0,59,18,34,4,5,6,50,41,28.999999999999996,0,0,0,0,0,25,4,25,33,34,43,1,45,41,35,21,41,39,43,43,55.00000000000001,46,51,56.00000000000001,46,69,64,57.99999999999999,52,61,56.00000000000001,66,43,56.99999999999999,90,95,79,36,46,63,63,80,76,71,73,65,64,73,74,78,57.99999999999999,80,56.00000000000001,77,75,66,83,64,57.99999999999999,43,45,34,65,51,50,71,34,54,41,27,28.999999999999996,43,5,0,20,21,0,0,37,30,52,28.999999999999996,51,57.99999999999999,100,71,79,44,50,46,43,52,35,74,84,56.00000000000001,83,67,36,69,23,71,73,45,55.00000000000001,56.99999999999999,43,54,43,43,43,36,73,0,24,31,51,25,55.00000000000001,20,5,17,39,48,45,55.00000000000001,63,11,0,0,37,62,33,18,28.000000000000004,0,0,0,0,7.000000000000001,0,11,0,0,65,20,20,19,30,35,28.000000000000004,18,11,44
