code,employment,employment2,occupation,code.variants,career_cluster,entry_level_education,typical_on_the_job_training,annual_wage_2021,projected_growth_2020.2030,programming.l,operations_analysis.l,written_expression.l,installation.l,equipment_selection.l,equipment_maintenance.l,repairing.l,finger_dexterity.l,manual_dexterity.l,wrist_finger_speed.l,repairing_and_maintaining_electronic_equipment.l,repairing_and_maintaining_mechanical_equipment.l,therapy_and_counseling.l,medicine_and_dentistry.l,biology.l,deal_with_physically_aggressive_people.l,exposed_to_disease_or_infections.l,physical_proximity.l,assisting_and_caring_for_others.l,spatial_orientation.l,sound_localization.l,glare_sensitivity.l,night_vision.l,peripheral_vision.l,transportation.l,exposed_to_whole_body_vibrations.l,extremely_bright_or_inadequate_lighting.l,very_hot_or_cold_temperatures.l,exposed_to_high_places.l,in_a_enclosed_vehicle_or_equipment.l,in_an_open_vehicle_or_equipment.l,indoors_not_environmentally_controlled.l,outdoors_exposed_to_weather.l,outdoors_under_cover.l,operating_vehicles_mechanized_devices_or_equipment.l,personnel_and_human_resources.l,monitoring_and_controlling_resources.l,staffing_organizational_units.l,telephone.l,contact_with_others.l,deal_with_unpleasant_or_angry_people.l,frequency_of_conflict_situations.l,deal_with_external_customers.l,work_with_work_group_or_team.l,interpreting_the_meaning_of_information_for_others.l,processing_information.l,working_with_computers.l,economics_and_accounting.l,customer_and_personal_service.l,sales_and_marketing.l,performing_for_or_working_directly_with_the_public.l,selling_or_influencing_others.l,explosive_strength.l,control_precision.l,multilimb_coordination.l,arm_hand_steadiness.l,reaction_time.l,administrative.l,computers_and_electronics.l,electronic_mail.l,importance_of_being_exact_or_accurate.l,importance_of_repeating_same_tasks.l,building_and_construction.l,engineering_and_technology.l,design.l,production_and_processing.l,basic.mathematics.l,number_facility.l,mathematical_reasoning.l,rate_control.l,spend_time_using_your_hands_to_handle_control_or_feel_objects_tools_or_controls.l,exposed_to_contaminants.l,exposed_to_hazardous_equipment.l,wear_common_protective_or_safety_equipment.l,pace_determined_by_speed_of_equipment.l,controlling_machines_and_processes.l,handling_and_moving_objectives.l,history_and_archeology.l,philosophy_and_theology.l,fine_arts.l,communications_and_media.l,geography.l,sociology_and_anthropology.l,public_speaking.l,gross_body_equilibrium.l,extent_flexibility.l,gross_body_coordination.l,static_strength.l,dynamic_strength.l,trunk_strength.l,stamina.l,speed_of_limb_movement.l,spend_time_bending_or_twisting_the_body.l,spend_time_keeping_or_regaining_balance.l,spend_time_kneeling_crouching_stooping_or_crawling.l,spend_time_making_repetitive_motions.l,spend_time_standing.l,spend_time_walking_and_running.l,exposed_to_minor_burns_cuts_bites_or_stings.l,performing_general_physical_activities.l
11-3071,144640,72320,"Transportation, Storage, and Distribution Managers",2,"Transportation, Distribution & Logistics",High school diploma or equivalent,None,98230,Average,8,42,56.99999999999999,0,0,0,0,25,16,0,23,31,32,13,0,16,6,47,46,13,0,0,0,0,67,5,22,32,18,52,27,66,44,25,39,64,64,60,97,91,59,66,68,86,50,63,52,51,75,49,43,52,0,19,0,18,0,60,56.00000000000001,98,77,56.00000000000001,30,42,33,60,45,44,45,0,46,36,33,56.00000000000001,16,31,47,17,23,0,37,45,31,41,0,0,0,0,0,0,0,0,20,12,13,42,38,34,13,37
11-3111,15330,15330,Compensation and Benefits Managers,1,Business Management & Administration,Bachelor's degree,None,127530,Slower than average,9,45,56.99999999999999,0,0,0,0,16,5,0,0,0,26,16,0,5,1,32,46,0,0,0,0,0,0,0,1,1,0,12,0,1,3,4,0,84,69,35,100,91,51,61,30,81,60,69,49,55.00000000000001,67,32,23,48,0,5,0,7.000000000000001,0,50,52,100,86,42,0,0,0,0,41,48,45,0,48,3,0,0,0,0,0,0,0,0,37,0,39,36,0,0,0,0,5,11,0,0,7.000000000000001,3,4,41,18,14.000000000000002,1,0
11-3121,166530,166530,Human Resources Managers,1,Business Management & Administration,Bachelor's degree,None,126230,Average,20,28.999999999999996,56.99999999999999,0,0,0,0,27,5,13,0,0,53,13,0,25,5,41,56.00000000000001,0,0,0,0,0,13,0,4,5,1,37,1,20,7.000000000000001,8,10,88,65,82,100,91,56.99999999999999,73,47,81,63,68,41,38,75,38,46,61,0,0,0,7.000000000000001,0,66,45,100,76,51,0,12,11,33,43,48,50,0,39,8,3,12,3,18,25,21,38,0,43,19,54,47,0,0,0,0,5,14.000000000000002,0,0,9,3,5,44,26,22,4,15
11-3131,35830,35830,Training and Development Managers,1,Business Management & Administration,Bachelor's degree,None,120130,Faster than average,11,41,66,0,0,0,0,21,11,0,9,0,30,0,0,9,7.000000000000001,46,43,0,0,0,0,0,15,0,12,6,6,18,7.000000000000001,18,11,9,11,67,62,61,91,91,45,56.00000000000001,56.00000000000001,87,61,59,52,32,72,51,40,62,0,11,0,13,0,62,59,95,65,42,0,19,36,34,43,43,43,0,30,11,6,11,6,20,39,0,28.999999999999996,0,55.00000000000001,15,56.00000000000001,57.99999999999999,0,0,0,0,0,18,0,0,9,2,8,33,37,19,7.000000000000001,24
11-9013,5220,5220,"Farmers, Ranchers, and Other Agricultural Managers",1,"Agriculture, Food & Natural Resources",High school diploma or equivalent,None,73060,Little or no change,10,35,53,0,28.000000000000004,32,27,40,39,19,38,53,18,0,64,4,5,56.00000000000001,41,21,19,21,16,18,47,24,35,70,21,72,72,80,95,75,55.00000000000001,53,68,50,78,82,31,40,56.99999999999999,86,43,59,41,52,56.99999999999999,54,48,49,0,44,43,40,28.999999999999996,51,48,60,62,52,48,49,48,67,40,41,40,24,54,54,42,61,30,59,68,0,0,0,36,41,21,23,19,31,23,35,23,36,24,0,36,20,34,39,61,47,57.99999999999999,60
11-9021,284750,284750,Construction Managers,1,Architecture & Construction,Bachelor's degree,Moderate-term on-the-job training,98890,Faster than average,7.000000000000001,50,59,0,0,0,0,20,0,7.000000000000001,17,26,17,12,18,20,9,53,46,20,0,16,0,0,46,19,40,51,44,69,25,55.00000000000001,78,55.00000000000001,34,61,72,64,98,90,57.99999999999999,70,61,89,55.00000000000001,66,54,49,67,51,46,51,0,16,23,0,21,54,56.00000000000001,99,71,49,86,70,65,56.99999999999999,52,52,52,0,26,54,57.99999999999999,91,18,32,41,11,11,0,39,28.000000000000004,21,49,16,9,14.000000000000002,14.000000000000002,9,23,13,0,24,15,25,21,41,39,36,42
11-9031,56430,56430,"Education and Childcare Administrators, Preschool and Daycare",1,Education & Training,Bachelor's degree,None,47310,Faster than average,9,14.000000000000002,61,0,0,0,0,25,14.000000000000002,13,15,0,40,38,22,16,40,75,62,0,0,0,0,0,28.999999999999996,0,1,10,2,41,0,3,33,10,12,57.99999999999999,62,56.99999999999999,98,100,56.00000000000001,67,69,89,42,46,48,49,84,49,66,47,9,7.000000000000001,11,27,0,65,53,96,76,67,24,28.999999999999996,28.999999999999996,38,41,41,41,0,43,7.000000000000001,6,28.000000000000004,5,16,43,30,41,32,36,41,40,30,11,16,11,16,16,32,13,0,23,11,20,45,38,31,11,44
11-9032,274710,274710,"Education Administrators, Kindergarten through Secondary",1,Education & Training,Master's degree,None,98420,Average,11,34,66,0,0,0,0,20,0,13,12,0,53,24,16,26,21,52,63,0,0,0,0,0,28.000000000000004,1,6,20,0,12,0,13,45,24,17,70,68,69,97,93,66,81,88,89,56.00000000000001,66,43,32,80,36,64,50,9,0,11,7.000000000000001,0,52,49,95,79,50,27,27,32,25,46,43,48,0,35,12,2,6,0,22,35,46,52,28.000000000000004,37,39,51,65,9,9,11,14.000000000000002,11,30,13,0,9,4,8,17,46,37,15,35
11-9033,155990,155990,"Education Administrators, Postsecondary",1,Education & Training,Master's degree,None,96910,Average,7.000000000000001,13,68,0,0,0,0,16,0,0,0,0,49,11,0,7.000000000000001,21,38,41,0,0,0,0,0,23,2,7.000000000000001,6,0,27,3,13,16,7.000000000000001,0,62,54,55.00000000000001,93,88,50,55.00000000000001,66,87,63,68,41,40,74,47,51,53,0,0,0,0,0,63,59,98,78,34,0,19,21,23,45,43,46,0,18,17,3,3,0,0,0,18,44,14.000000000000002,47,25,40,55.00000000000001,0,0,0,0,0,11,0,0,9,2,4,40,35,22,3,18
11-9041,187100,93550,Architectural and Engineering Managers,2,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,152350,Slower than average,16,32,66,0,0,0,0,32,27,0,22,21,0,15,21,3,0,51,34,7.000000000000001,0,0,0,0,37,0,14.000000000000002,17,6,31,0,30,19,18,24,54,57.99999999999999,46,98,89,40,56.99999999999999,80,97,65,76,59,42,74,44,38,55.00000000000001,0,28.999999999999996,11,25,0,60,64,100,75,62,51,76,78,59,61,56.99999999999999,59,0,46,30,14.000000000000002,52,4,37,33,16,20,0,35,44,21,49,0,0,0,0,0,11,0,0,2,2,7.000000000000001,31,28.999999999999996,23,3,30
11-9041,187100,93550,Biofuels/Biodiesel Technology and Product Development Managers,2,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,152350,Slower than average,20,0,59,0,30,20,18,43,36,14.000000000000002,49,44,0,0,39,8,3,46,37,0,0,0,0,0,33,3,11,40,28.000000000000004,27,10,50,37,31,25,35,62,45,85,77,39,44,42,88,75,84,61,30,44,28.000000000000004,32,51,0,39,27,39,18,55.00000000000001,63,98,78,47,44,67,36,56.00000000000001,45,50,54,16,46,55.00000000000001,28.999999999999996,76,22,56.00000000000001,49,0,0,0,32,28.999999999999996,0,41,16,16,18,14.000000000000002,14.000000000000002,23,18,0,11,3,10,33,38,25,10,45
11-9051,210680,210680,Food Service Managers,1,Hospitality & Tourism,High school diploma or equivalent,None,59440,Faster than average,9,34,52,0,13,16,13,41,41,21,21,28.000000000000004,32,18,18,33,10,78,40,0,0,0,0,0,24,0,12,39,9,20,1,14.000000000000002,18,16,14.000000000000002,50,53,28.999999999999996,90,97,78,66,81,95,28.000000000000004,35,42,44,68,52,54,37,13,32,28.999999999999996,41,14.000000000000002,50,44,89,82,74,22,18,19,55.00000000000001,41,45,39,11,63,19,20,80,20,30,61,15,22,0,30,17,22,33,16,30,23,30,27,34,30,14.000000000000002,56.99999999999999,14.000000000000002,24,78,84,78,70,42
11-9071,3660,3660,Gambling Managers,1,Hospitality & Tourism,High school diploma or equivalent,None,76910,Much faster than average,9,28.999999999999996,52,0,0,0,0,30,14.000000000000002,0,25,36,26,9,0,37,17,76,41,0,0,5,0,7.000000000000001,16,0,18,5,3,4,1,11,5,2,15,54,62,63,93,90,79,85,84,91,44,56.00000000000001,59,51,78,51,67,38,14.000000000000002,0,9,9,18,57.99999999999999,62,98,85,65,16,26,30,41,45,46,45,0,28.999999999999996,49,1,1,13,27,42,13,19,0,38,19,30,41,7.000000000000001,5,23,14.000000000000002,7.000000000000001,37,27,14.000000000000002,16,1,9,40,62,63,11,37
11-9081,35920,35920,Lodging Managers,1,Hospitality & Tourism,High school diploma or equivalent,None,59430,Average,13,14.000000000000002,56.99999999999999,0,11,11,11,27,25,16,0,25,28.999999999999996,18,0,15,4,49,61,23,11,11,9,13,28.999999999999996,1,5,15,2,23,0,6,11,2,27,70,53,71,98,97,64,68,87,95,40,53,59,49,71,69,71,62,14.000000000000002,28.999999999999996,28.999999999999996,32,21,71,68,98,79,79,0,31,21,32,41,39,39,21,19,14.000000000000002,0,2,20,35,48,0,36,0,49,30,38,67,20,20,20,18,20,28.999999999999996,20,0,17,11,5,38,53,38,6,36
11-9111,436770,436770,Medical and Health Services Managers,1,Health Science,Bachelor's degree,None,101340,Much faster than average,14.000000000000002,55.00000000000001,61,0,0,0,0,20,11,9,0,0,25,46,36,19,34,45,43,0,0,0,0,0,0,0,8,7.000000000000001,0,10,1,9,1,1,0,64,66,70,99,87,53,54,66,82,66,77,60,48,66,27,48,36,0,11,0,13,0,74,63,100,88,77,0,19,21,48,41,46,52,0,43,10,2,2,15,23,30,0,16,0,35,0,27,47,0,0,0,0,11,14.000000000000002,0,0,14.000000000000002,2,10,64,27,28.999999999999996,6,26
11-9121,74760,24920,Clinical Research Coordinators,3,"Agriculture, Food & Natural Resources",Bachelor's degree,None,137900,Average,13,16,56.99999999999999,0,0,0,0,25,0,11,23,20,23,44,45,2,59,59,57.99999999999999,0,0,0,0,0,25,0,5,9,0,9,0,4,1,3,0,34,45,16,84,91,33,39,59,86,38,67,55.00000000000001,16,69,27,49,15,0,0,0,0,0,63,50,98,89,78,0,20,13,17,43,43,43,0,30,28.999999999999996,0,44,8,31,41,0,27,0,28.999999999999996,15,32,28.999999999999996,0,0,0,0,0,16,0,0,20,21,17,44,39,21,1,34
11-9121,74760,24920,Natural Sciences Managers,3,"Agriculture, Food & Natural Resources",Bachelor's degree,None,137900,Average,23,55.00000000000001,71,0,0,0,0,25,9,7.000000000000001,27,28.999999999999996,0,16,72,6,15,39,28.000000000000004,13,9,5,5,9,19,1,4,15,3,12,3,14.000000000000002,13,8,31,54,63,62,86,76,33,32,64,92,67,79,47,30,57.99999999999999,33,31,40,0,14.000000000000002,14.000000000000002,16,14.000000000000002,70,66,100,86,49,22,48,35,43,56.99999999999999,55.00000000000001,56.99999999999999,11,44,27,12,60,6,52,43,0,0,0,39,31,16,48,7.000000000000001,7.000000000000001,9,7.000000000000001,0,20,7.000000000000001,0,12,7.000000000000001,10,36,35,25,15,37
