code,employment,employment2,occupation,code.variants,career_cluster,entry_level_education,typical_on_the_job_training,annual_wage_2021,projected_growth_2020.2030,programming.l,operations_analysis.l,written_expression.l,equipment_maintenance.l,repairing.l,manual_dexterity.l,medicine_and_dentistry.l,exposed_to_disease_or_infections.l,physical_proximity.l,very_hot_or_cold_temperatures.l,in_a_enclosed_vehicle_or_equipment.l,in_an_open_vehicle_or_equipment.l,outdoors_exposed_to_weather.l,personnel_and_human_resources.l,monitoring_and_controlling_resources.l,staffing_organizational_units.l,contact_with_others.l,deal_with_unpleasant_or_angry_people.l,deal_with_external_customers.l,interpreting_the_meaning_of_information_for_others.l,processing_information.l,working_with_computers.l,economics_and_accounting.l,sales_and_marketing.l,selling_or_influencing_others.l,control_precision.l,multilimb_coordination.l,arm_hand_steadiness.l,administrative.l,electronic_mail.l,importance_of_repeating_same_tasks.l,building_and_construction.l,design.l,production_and_processing.l,basic.mathematics.l,number_facility.l,mathematical_reasoning.l,spend_time_using_your_hands_to_handle_control_or_feel_objects_tools_or_controls.l,pace_determined_by_speed_of_equipment.l,handling_and_moving_objectives.l,history_and_archeology.l,fine_arts.l,public_speaking.l,extent_flexibility.l,stamina.l,spend_time_bending_or_twisting_the_body.l,spend_time_kneeling_crouching_stooping_or_crawling.l,spend_time_making_repetitive_motions.l,spend_time_standing.l,spend_time_walking_and_running.l
11-3031,681070,227023.33333333334,Treasurers and Controllers,3,Finance,Bachelor's degree,None,131710,Much faster than average,14.000000000000002,45,59,0,0,0,0,2,38,3,7.000000000000001,0,1,59,71,64,88,36,51,68,78,59,86,35,55.00000000000001,0,0,0,50,100,67,0,0,23,61,63,61,21,3,11,0,0,37,0,0,6,3,44,18,11
11-3051,192270,32045,Biofuels Production Managers,6,Business Management & Administration,Bachelor's degree,None,103150,Average,23,0,54,0,0,28.999999999999996,9,10,53,77,45,42,76,56.99999999999999,62,55.00000000000001,91,48,66,55.00000000000001,70,50,43,40,39,32,27,37,61,100,63,56.00000000000001,57.99999999999999,80,46,46,48,38,65,40,6,0,39,21,23,21,23,27,41,35
11-3051,192270,32045,Biomass Power Plant Managers,6,Business Management & Administration,Bachelor's degree,None,103150,Average,13,30,56.99999999999999,39,39,32,14.000000000000002,8,65,67,39,21,66,64,70,59,86,40,65,42,76,55.00000000000001,54,0,34,41,30,39,61,98,73,59,48,71,46,45,45,35,69,61,0,0,50,23,20,35,23,32,37,38
11-3051,192270,32045,Geothermal Production Managers,6,Business Management & Administration,Bachelor's degree,None,103150,Average,18,0,54,0,43,30,24,4,38,61,93,16,77,62,68,56.99999999999999,87,39,64,49,70,55.00000000000001,43,19,47,37,30,32,66,100,63,65,56.00000000000001,66,54,50,54,18,43,42,10,0,53,0,0,18,13,34,40,30
11-3051,192270,32045,Hydroelectric Production Managers,6,Business Management & Administration,Bachelor's degree,None,103150,Average,20,0,59,37,39,36,17,8,50,61,73,23,63,59,69,59,85,42,65,55.00000000000001,63,46,38,18,34,37,25,39,54,100,65,60,55.00000000000001,62,50,48,48,37,34,44,15,0,43,25,0,27,24,38,31,33
11-3051,192270,32045,Industrial Production Managers,6,Business Management & Administration,Bachelor's degree,None,103150,Average,11,41,56.99999999999999,20,23,25,11,6,56.00000000000001,43,35,22,33,56.00000000000001,54,46,92,50,47,42,57.99999999999999,56.99999999999999,33,32,35,32,25,32,54,97,54,22,44,77,54,46,52,43,56.00000000000001,70,0,0,45,21,23,18,14.000000000000002,23,62,51
11-3051,192270,32045,Quality Control Systems Managers,6,Business Management & Administration,Bachelor's degree,None,103150,Average,21,0,55.00000000000001,34,32,39,17,16,48,37,28.999999999999996,16,83,61,42,28.999999999999996,99,60,82,64,69,52,28.000000000000004,21,24,41,28.999999999999996,39,68,100,73,21,28.000000000000004,54,48,50,48,59,17,48,0,0,50,16,18,25,19,42,37,25
11-3061,69310,69310,Purchasing Managers,1,Business Management & Administration,Bachelor's degree,None,127150,Average,16,39,59,0,0,0,0,1,41,13,33,4,12,54,61,64,89,55.00000000000001,69,49,66,52,56.00000000000001,48,55.00000000000001,0,0,0,68,100,63,26,33,50,48,48,50,24,11,24,0,0,45,0,0,11,6,35,28.000000000000004,23
11-3071,144640,72320,Supply Chain Managers,2,Business Management & Administration,High school diploma or equivalent,None,98230,Average,13,34,56.99999999999999,0,0,0,0,3,51,30,35,13,28.000000000000004,64,74,67,89,59,68,56.99999999999999,60,57.99999999999999,60,52,61,0,0,0,34,100,43,24,35,71,43,45,50,20,25,35,0,0,44,0,0,8,4,30,33,24
11-3071,144640,72320,"Transportation, Storage, and Distribution Managers",2,"Transportation, Distribution & Logistics",High school diploma or equivalent,None,98230,Average,8,42,56.99999999999999,0,0,16,13,6,47,32,52,27,44,64,64,60,91,59,68,50,63,52,51,49,52,19,0,18,60,98,56.00000000000001,30,33,60,45,44,45,46,16,47,17,0,41,0,0,20,13,42,38,34
11-3111,15330,15330,Compensation and Benefits Managers,1,Business Management & Administration,Bachelor's degree,None,127530,Slower than average,9,45,56.99999999999999,0,0,5,16,1,32,1,12,0,3,84,69,35,91,51,30,60,69,49,55.00000000000001,32,48,5,0,7.000000000000001,50,100,42,0,0,0,41,48,45,48,0,0,0,0,36,0,0,7.000000000000001,4,41,18,14.000000000000002
11-3121,166530,166530,Human Resources Managers,1,Business Management & Administration,Bachelor's degree,None,126230,Average,20,28.999999999999996,56.99999999999999,0,0,5,13,5,41,5,37,1,7.000000000000001,88,65,82,91,56.99999999999999,47,63,68,41,38,38,61,0,0,7.000000000000001,66,100,51,0,11,33,43,48,50,39,3,25,21,0,47,0,0,9,5,44,26,22
11-3131,35830,35830,Training and Development Managers,1,Business Management & Administration,Bachelor's degree,None,120130,Faster than average,11,41,66,0,0,11,0,7.000000000000001,46,6,18,7.000000000000001,11,67,62,61,91,45,56.00000000000001,61,59,52,32,51,62,11,0,13,62,95,42,0,36,34,43,43,43,30,6,39,0,0,57.99999999999999,0,0,9,8,33,37,19
11-9013,5220,5220,"Farmers, Ranchers, and Other Agricultural Managers",1,"Agriculture, Food & Natural Resources",High school diploma or equivalent,None,73060,Little or no change,10,35,53,32,27,39,0,5,56.00000000000001,70,72,72,95,53,68,50,82,31,56.99999999999999,43,59,41,52,54,49,44,43,40,51,60,52,48,48,67,40,41,40,54,30,68,0,0,23,31,24,36,34,39,61,47
11-9021,284750,284750,Construction Managers,1,Architecture & Construction,Bachelor's degree,Moderate-term on-the-job training,98890,Faster than average,7.000000000000001,50,59,0,0,0,12,9,53,51,69,25,78,61,72,64,90,57.99999999999999,61,55.00000000000001,66,54,49,51,51,16,23,0,54,99,49,86,65,56.99999999999999,52,52,52,26,18,41,11,0,49,9,13,24,25,21,41,39
11-9031,56430,56430,"Education and Childcare Administrators, Preschool and Daycare",1,Education & Training,Bachelor's degree,None,47310,Faster than average,9,14.000000000000002,61,0,0,14.000000000000002,38,40,75,10,41,0,33,57.99999999999999,62,56.99999999999999,100,56.00000000000001,69,42,46,48,49,49,47,7.000000000000001,11,27,65,96,67,24,28.999999999999996,38,41,41,41,43,5,43,30,32,30,16,13,23,20,45,38,31
11-9032,274710,274710,"Education Administrators, Kindergarten through Secondary",1,Education & Training,Master's degree,None,98420,Average,11,34,66,0,0,0,24,21,52,20,12,0,45,70,68,69,93,66,88,56.00000000000001,66,43,32,36,50,0,11,7.000000000000001,52,95,50,27,32,25,46,43,48,35,0,35,46,28.000000000000004,65,9,13,9,8,17,46,37
11-9033,155990,155990,"Education Administrators, Postsecondary",1,Education & Training,Master's degree,None,96910,Average,7.000000000000001,13,68,0,0,0,11,21,38,6,27,3,16,62,54,55.00000000000001,88,50,66,63,68,41,40,47,53,0,0,0,63,98,34,0,21,23,45,43,46,18,0,0,18,14.000000000000002,55.00000000000001,0,0,9,4,40,35,22
11-9041,187100,93550,Architectural and Engineering Managers,2,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,152350,Slower than average,16,32,66,0,0,27,15,0,51,17,31,0,19,54,57.99999999999999,46,89,40,80,65,76,59,42,44,55.00000000000001,28.999999999999996,11,25,60,100,62,51,78,59,61,56.99999999999999,59,46,4,33,16,0,49,0,0,2,7.000000000000001,31,28.999999999999996,23
11-9041,187100,93550,Biofuels/Biodiesel Technology and Product Development Managers,2,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,152350,Slower than average,20,0,59,20,18,36,0,3,46,40,27,10,37,35,62,45,77,39,42,75,84,61,30,28.000000000000004,51,39,27,39,55.00000000000001,98,47,44,36,56.00000000000001,45,50,54,46,22,49,0,0,41,16,18,11,10,33,38,25
11-9051,210680,210680,Food Service Managers,1,Hospitality & Tourism,High school diploma or equivalent,None,59440,Faster than average,9,34,52,16,13,41,18,10,78,39,20,1,18,50,53,28.999999999999996,97,78,81,28.000000000000004,35,42,44,52,37,32,28.999999999999996,41,50,89,74,22,19,55.00000000000001,41,45,39,63,20,61,15,0,33,30,30,56.99999999999999,24,78,84,78
11-9071,3660,3660,Gambling Managers,1,Hospitality & Tourism,High school diploma or equivalent,None,76910,Much faster than average,9,28.999999999999996,52,0,0,14.000000000000002,9,17,76,5,4,1,5,54,62,63,90,79,84,44,56.00000000000001,59,51,51,38,0,9,9,57.99999999999999,98,65,16,30,41,45,46,45,28.999999999999996,13,42,13,0,41,5,27,16,9,40,62,63
11-9081,35920,35920,Lodging Managers,1,Hospitality & Tourism,High school diploma or equivalent,None,59430,Average,13,14.000000000000002,56.99999999999999,11,11,25,18,4,49,15,23,0,11,70,53,71,97,64,87,40,53,59,49,69,62,28.999999999999996,28.999999999999996,32,71,98,79,0,21,32,41,39,39,19,20,48,0,0,67,20,20,17,5,38,53,38
11-9111,436770,436770,Medical and Health Services Managers,1,Health Science,Bachelor's degree,None,101340,Much faster than average,14.000000000000002,55.00000000000001,61,0,0,11,46,34,45,7.000000000000001,10,1,1,64,66,70,87,53,66,66,77,60,48,27,36,11,0,13,74,100,77,0,21,48,41,46,52,43,15,30,0,0,47,0,0,14.000000000000002,10,64,27,28.999999999999996
11-9121,74760,24920,Clinical Research Coordinators,3,"Agriculture, Food & Natural Resources",Bachelor's degree,None,137900,Average,13,16,56.99999999999999,0,0,0,44,59,59,9,9,0,1,34,45,16,91,33,59,38,67,55.00000000000001,16,27,15,0,0,0,63,98,78,0,13,17,43,43,43,30,8,41,0,0,28.999999999999996,0,0,20,17,44,39,21
11-9121,74760,24920,Natural Sciences Managers,3,"Agriculture, Food & Natural Resources",Bachelor's degree,None,137900,Average,23,55.00000000000001,71,0,0,9,16,15,39,15,12,3,13,54,63,62,76,33,64,67,79,47,30,33,40,14.000000000000002,14.000000000000002,16,70,100,49,22,35,43,56.99999999999999,55.00000000000001,56.99999999999999,44,6,43,0,0,48,7.000000000000001,7.000000000000001,12,10,36,35,25
11-9121,74760,24920,Water Resource Specialists,3,"Agriculture, Food & Natural Resources",Bachelor's degree,None,137900,Average,21,37,59,0,0,0,0,8,41,26,48,12,45,44,50,44,76,34,65,72,81,68,46,54,48,20,9,0,33,98,28.000000000000004,59,77,27,54,54,48,22,7.000000000000001,27,31,0,42,0,0,11,9,19,28.999999999999996,23
11-9131,12750,12750,Postmasters and Mail Superintendents,1,Government & Public Administration,High school diploma or equivalent,Moderate-term on-the-job training,80250,Decline,13,30,52,0,0,0,14.000000000000002,17,56.00000000000001,38,50,6,46,55.00000000000001,56.00000000000001,63,99,82,89,48,56.99999999999999,52,41,43,49,7.000000000000001,13,5,65,97,68,17,25,66,36,41,41,20,40,43,12,0,70,7.000000000000001,21,17,12,35,54,49
11-9141,234680,234680,"Property, Real Estate, and Community Association Managers",1,Marketing,High school diploma or equivalent,None,59230,Slower than average,7.000000000000001,27,56.99999999999999,0,0,0,0,4,44,23,59,3,51,60,66,59,93,68,78,42,57.99999999999999,48,65,57.99999999999999,54,5,5,0,69,99,48,52,26,20,43,43,41,19,4,19,9,0,38,0,0,14.000000000000002,11,21,34,28.999999999999996
11-9151,156400,156400,Social and Community Service Managers,1,Human Services,Bachelor's degree,None,74000,Much faster than average,13,48,59,0,0,9,21,26,42,14.000000000000002,56.99999999999999,0,17,62,36,46,92,69,78,52,56.99999999999999,54,43,42,30,18,11,18,64,100,61,17,15,28.000000000000004,45,48,48,39,5,28.000000000000004,13,11,50,5,5,9,8,26,37,22
11-9161,10320,10320,Emergency Management Directors,1,Government & Public Administration,Bachelor's degree,None,76730,Average,9,46,63,0,0,13,27,15,52,36,63,14.000000000000002,43,61,72,57.99999999999999,91,48,86,57.99999999999999,59,50,45,47,67,21,21,25,57.99999999999999,99,44,34,19,25,45,39,39,32,3,37,39,0,56.99999999999999,5,0,18,14.000000000000002,32,30,36
11-9171,12710,12710,Funeral Home Managers,1,Human Services,Associate's degree,None,74000,Slower than average,11,0,52,0,0,27,33,56.00000000000001,60,45,80,13,63,56.99999999999999,48,42,92,57.99999999999999,84,43,56.99999999999999,47,41,40,57.99999999999999,28.999999999999996,34,30,64,91,50,19,17,26,37,39,41,21,2,72,25,0,56.00000000000001,13,16,18,6,16,53,33
11-9179,7350,3675,Fitness and Wellness Coordinators,2,Education & Training,Bachelor's degree,Long-term on-the-job training,60360,Average,13,14.000000000000002,56.99999999999999,9,0,28.999999999999996,36,14.000000000000002,66,10,22,1,25,51,60,61,89,47,69,46,49,45,41,62,64,16,37,30,59,98,21,8,12,17,37,41,37,25,11,48,8,15,52,41,39,27,16,25,46,31
11-9179,7350,3675,Spa Managers,2,Human Services,Postsecondary nondegree award,Moderate-term on-the-job training,60360,Average,11,0,55.00000000000001,0,0,18,0,11,82,1,10,0,2,62,56.99999999999999,46,100,55.00000000000001,91,36,56.99999999999999,51,49,56.00000000000001,59,18,20,27,71,78,59,0,0,20,41,43,45,35,0,46,0,0,22,14.000000000000002,16,20,10,49,47,39
11-9199,497890,82981.66666666667,Brownfield Redevelopment Specialists and Site Managers,6,Business Management & Administration,Bachelor's degree,Long-term on-the-job training,124650,Average,11,43,61,0,0,0,0,4,42,28.999999999999996,44,8,50,35,63,37,83,26,74,60,69,45,37,49,52,7.000000000000001,5,0,56.00000000000001,98,38,39,45,18,55.00000000000001,52,55.00000000000001,25,7.000000000000001,36,31,0,33,0,0,10,11,25,28.999999999999996,23
11-9199,497890,82981.66666666667,Compliance Managers,6,Business Management & Administration,Bachelor's degree,Long-term on-the-job training,124650,Average,13,20,61,0,0,11,18,13,54,16,34,6,19,62,28.000000000000004,30,92,55.00000000000001,73,62,73,56.00000000000001,42,28.000000000000004,39,13,0,11,71,100,71,15,19,30,32,30,32,51,9,28.000000000000004,16,0,47,0,0,19,11,32,36,37
11-9199,497890,82981.66666666667,Loss Prevention Managers,6,Business Management & Administration,Bachelor's degree,Long-term on-the-job training,124650,Average,11,32,56.99999999999999,0,0,27,17,16,57.99999999999999,23,53,10,32,60,57.99999999999999,55.00000000000001,96,62,75,44,63,52,40,34,57.99999999999999,21,30,16,56.99999999999999,100,50,40,38,28.000000000000004,39,43,41,24,8,36,0,0,49,18,28.999999999999996,16,17,33,39,33
11-9199,497890,82981.66666666667,Regulatory Affairs Managers,6,Business Management & Administration,Bachelor's degree,Long-term on-the-job training,124650,Average,11,52,61,0,0,0,45,5,43,2,13,0,4,52,59,62,83,41,59,73,80,47,16,35,56.00000000000001,0,0,0,65,100,55.00000000000001,0,41,49,41,37,36,21,4,25,0,0,37,0,0,6,5,47,22,17
11-9199,497890,82981.66666666667,Wind Energy Development Managers,6,Business Management & Administration,Bachelor's degree,Long-term on-the-job training,124650,Average,18,0,54,0,0,0,0,1,44,23,50,2,33,43,65,36,75,37,70,48,64,43,55.00000000000001,43,60,0,0,0,53,96,32,66,63,41,50,45,50,23,4,39,27,0,44,0,0,9,3,28.000000000000004,30,18
11-9199,497890,82981.66666666667,Wind Energy Operations Managers,6,Business Management & Administration,Postsecondary nondegree award,Moderate-term on-the-job training,124650,Average,18,32,56.99999999999999,32,30,32,23,2,62,64,89,35,75,57.99999999999999,68,67,88,34,53,46,63,51,48,26,44,34,32,32,61,76,52,44,50,49,46,43,43,44,21,78,16,0,57.99999999999999,32,20,28.000000000000004,28.000000000000004,36,37,33
13-1011,12480,12480,"Agents and Business Managers of Artists, Performers, and Athletes",1,"Arts, Audio/Video Technology & Communications",Bachelor's degree,None,78410,Much faster than average,7.000000000000001,18,56.99999999999999,0,0,0,0,3,42,8,8,0,5,51,40,16,97,51,48,45,34,52,49,67,64,0,0,0,65,100,47,0,0,16,28.999999999999996,32,36,19,0,23,16,54,25,0,0,1,1,26,19,15
13-1021,439000,146333.33333333334,"Buyers and Purchasing Agents, Farm Products",3,"Agriculture, Food & Natural Resources",Bachelor's degree,Long-term on-the-job training,63470,Decline,11,25,46,0,0,20,13,2,51,14.000000000000002,36,13,30,38,59,36,95,43,79,39,62,43,59,56.99999999999999,56.00000000000001,20,20,21,60,99,80,30,36,57.99999999999999,43,46,48,28.000000000000004,6,21,24,0,25,7.000000000000001,16,13,8,30,27,18
13-1021,439000,146333.33333333334,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3,Manufacturing,Bachelor's degree,Long-term on-the-job training,63470,Decline,0,34,55.00000000000001,0,0,5,10,0,37,14.000000000000002,33,6,15,47,61,50,84,54,71,44,64,44,52,41,50,0,0,7.000000000000001,70,99,64,28.000000000000004,36,55.00000000000001,41,45,46,19,7.000000000000001,27,14.000000000000002,0,35,0,0,10,4,40,26,21
13-1021,439000,146333.33333333334,"Wholesale and Retail Buyers, Except Farm Products",3,Marketing,Postsecondary nondegree award,Moderate-term on-the-job training,63470,Decline,13,28.999999999999996,52,0,0,21,0,10,57.99999999999999,21,27,8,9,20,61,30,96,55.00000000000001,71,32,55.00000000000001,51,47,63,48,0,16,27,56.99999999999999,100,78,21,17,33,48,48,52,36,2,52,0,0,35,11,11,14.000000000000002,8,64,37,23
13-1031,278140,278140,"Claims Adjusters, Examiners, and Investigators",1,Finance,High school diploma or equivalent,Long-term on-the-job training,65080,Decline,9,0,54,0,0,16,30,3,50,13,30,1,23,27,47,0,93,71,84,43,68,52,37,25,32,12,0,19,59,100,83,36,18,25,44,46,46,49,14.000000000000002,20,0,0,25,0,0,15,7.000000000000001,67,25,17
13-1032,11430,11430,"Insurance Appraisers, Auto Damage",1,Finance,Postsecondary nondegree award,Moderate-term on-the-job training,62680,Little or no change,0,20,54,11,13,20,0,12,41,55.00000000000001,85,16,78,14.000000000000002,44,19,99,65,98,37,64,52,25,21,39,25,21,27,51,100,70,0,20,28.000000000000004,39,36,36,62,7.000000000000001,28.999999999999996,0,0,19,14.000000000000002,5,37,32,64,32,23
13-1041,334340,47762.857142857145,Compliance Officers,7,Government & Public Administration,Bachelor's degree,Moderate-term on-the-job training,71650,Average,16,18,56.99999999999999,0,0,23,0,51,70,48,66,14.000000000000002,63,14.000000000000002,24,16,95,76,94,44,71,51,16,0,26,34,28.999999999999996,27,53,74,74,0,0,0,32,39,34,45,18,36,0,0,35,28.999999999999996,25,38,24,64,37,30
13-1041,334340,47762.857142857145,Coroners,7,Government & Public Administration,Bachelor's degree,Moderate-term on-the-job training,71650,Average,7.000000000000001,9,59,0,0,43,66,69,76,53,85,23,66,54,48,50,85,50,89,56.00000000000001,56.00000000000001,46,26,8,17,41,39,45,60,98,60,0,12,16,36,37,36,46,4,66,20,0,39,32,25,31,25,30,46,28.999999999999996
13-1041,334340,47762.857142857145,Customs Brokers,7,Business Management & Administration,Bachelor's degree,Moderate-term on-the-job training,71650,Average,20,11,54,0,0,0,0,1,54,9,24,8,10,41,48,53,93,63,71,52,67,63,56.00000000000001,43,45,0,0,0,72,100,83,0,13,30,43,43,43,28.999999999999996,28.000000000000004,26,12,0,33,0,0,6,3,44,19,16
13-1041,334340,47762.857142857145,Environmental Compliance Inspectors,7,Government & Public Administration,Bachelor's degree,Moderate-term on-the-job training,71650,Average,16,36,68,0,0,25,14.000000000000002,19,56.00000000000001,45,65,1,70,24,27,31,86,45,81,49,67,46,14.000000000000002,12,31,36,28.999999999999996,27,44,99,57.99999999999999,37,31,28.999999999999996,45,46,43,25,5,34,14.000000000000002,0,28.999999999999996,14.000000000000002,18,18,13,21,41,38
13-1041,334340,47762.857142857145,Equal Opportunity Representatives and Officers,7,Government & Public Administration,Bachelor's degree,Moderate-term on-the-job training,71650,Average,21,27,64,0,0,0,11,3,41,9,23,0,12,65,20,27,86,62,74,68,76,56.00000000000001,22,25,44,0,0,0,56.99999999999999,98,50,0,0,16,39,45,43,37,9,18,33,0,39,0,0,8,4,46,23,22
13-1041,334340,47762.857142857145,Government Property Inspectors and Investigators,7,Government & Public Administration,Bachelor's degree,Moderate-term on-the-job training,71650,Average,18,18,56.99999999999999,0,0,30,0,25,52,38,78,7.000000000000001,71,43,42,0,94,65,86,52,63,57.99999999999999,35,33,33,32,32,34,69,90,57.99999999999999,62,56.00000000000001,28.999999999999996,45,43,43,28.999999999999996,15,48,16,0,24,21,20,19,13,28.999999999999996,43,31
13-1041,334340,47762.857142857145,Regulatory Affairs Specialists,7,Government & Public Administration,Bachelor's degree,Moderate-term on-the-job training,71650,Average,20,37,59,0,0,0,41,1,55.00000000000001,1,4,0,1,28.999999999999996,34,49,80,34,38,67,65,48,13,26,46,0,0,0,59,99,57.99999999999999,0,21,44,41,41,43,23,6,7.000000000000001,0,0,35,0,0,3,0,50,19,11
13-1051,208950,208950,Cost Estimators,1,Architecture & Construction,Bachelor's degree,Moderate-term on-the-job training,65170,Little or no change,23,34,55.00000000000001,0,0,0,0,2,44,23,19,8,27,44,51,39,81,31,61,59,73,57.99999999999999,56.99999999999999,45,46,0,0,0,47,100,63,68,51,49,61,61,61,24,11,17,0,0,44,0,0,13,14.000000000000002,39,25,16
13-1071,740830,740830,Human Resources Specialists,1,Business Management & Administration,Bachelor's degree,None,62290,Faster than average,9,0,55.00000000000001,0,0,7.000000000000001,0,5,41,4,35,1,12,81,37,46,94,60,68,36,56.00000000000001,50,17,15,27,5,0,7.000000000000001,75,100,72,0,0,0,28.999999999999996,34,32,60,0,23,0,0,57.99999999999999,0,0,21,15,63,24,19
13-1074,440,440,Farm Labor Contractors,1,"Agriculture, Food & Natural Resources",No formal educational credential,Short-term on-the-job training,47770,Faster than average,7.000000000000001,0,43,0,0,36,25,1,66,61,77,39,79,60,42,26,87,44,40,16,40,34,44,0,32,43,43,34,31,52,87,0,0,52,30,30,27,36,38,37,0,0,26,21,30,20,6,22,48,45
13-1075,63810,63810,Labor Relations Specialists,1,Business Management & Administration,Bachelor's degree,None,77010,Decline,7.000000000000001,0,61,0,0,0,0,1,51,14.000000000000002,46,4,15,74,46,44,90,70,54,57.99999999999999,66,45,45,31,67,0,0,0,51,96,26,0,0,25,39,41,41,19,3,18,22,0,53,0,0,9,8,24,31,20
