occupation,entry_level_education,annual_wage_2021,judgment_and_decision.l,active_learning.l,complex_problem_solving.l,critical_thinking.l,equipment_selection.l,troubleshooting.l,repairing.l,equipment_maintenance.l,glare_sensitivity.l,peripheral_vision.l,sound_localization.l,arm_hand_steadiness.l,finger_dexterity.l,control_precision.l,inductive_reasoning.l,deductive_reasoning.l,information_ordering.l,therapy_and_counseling.l,medicine_and_dentistry.l,psychology.l,biology.l,physics.l,engineering_and_technology.l,mechanical.l,building_and_construction.l,administration_and_management.l,economics_and_accounting.l,personnel_and_human_resources.l,administrative.l,history_and_archeology.l,fine_arts.l,philosophy_and_theology.l,sociology_and_anthropology.l
Advanced Practice Psychiatric Nurses,Bachelor's degree,77600,0.54,0.57,0.48,0.57,0,0,0,0,0,0,0,0.05,0.3,0,0.61,0.59,0.55,0.98,0.66,0.94,0.61,0.14,0.15,0.1,0,0.49,0.22,0.46,0.5,0.25,0.09,0.61,0.73
Advertising and Promotions Managers,Bachelor's degree,127150,0.57,0.59,0.55,0.59,0,0,0,0,0,0,0,0.07,0.16,0,0.55,0.64,0.54,0.2,0.07,0.39,0,0,0.22,0,0,0.63,0.42,0.44,0.62,0.16,0.33,0.3,0.4
Advertising Sales Agents,High school diploma or equivalent,52340,0.46,0.52,0.45,0.54,0,0,0,0,0,0,0.07,0.05,0.16,0.2,0.46,0.52,0.48,0,0,0.32,0,0,0.23,0.09,0,0.46,0.37,0.36,0.63,0.14,0.22,0.21,0.16
Aerospace Engineering and Operations Technologists and Technicians,Associate's degree,73580,0.46,0.43,0.48,0.57,0.34,0.45,0.43,0.48,0.11,0,0,0.43,0.43,0.43,0.57,0.57,0.55,0,0,0,0,0.57,0.73,0.88,0,0.49,0.18,0.3,0.56,0,0,0,0
Aerospace Engineers,Bachelor's degree,122270,0.55,0.55,0.61,0.66,0,0.36,0,0,0,0,0,0,0.29,0,0.61,0.68,0.57,0,0,0,0,0.69,0.87,0.64,0.31,0.42,0.22,0.32,0.44,0,0,0,0.1
"Agents and Business Managers of Artists, Performers, and Athletes",Bachelor's degree,78410,0.54,0.5,0.48,0.54,0,0,0,0,0,0,0,0,0.14,0,0.54,0.55,0.43,0.14,0,0.36,0,0,0,0,0,0.58,0.49,0.51,0.65,0.16,0.54,0,0.33
Agricultural Engineers,Bachelor's degree,82640,0.57,0.55,0.63,0.61,0.2,0.3,0.11,0.13,0.09,0.11,0.11,0.14,0.32,0.29,0.59,0.61,0.57,0.11,0.12,0.36,0.65,0.76,0.87,0.65,0.66,0.58,0.41,0.51,0.48,0.28,0,0.2,0.35
Agricultural Equipment Operators,No formal educational credential,36360,0.3,0.27,0.34,0.39,0.29,0.43,0.43,0.43,0.25,0.29,0.29,0.41,0.41,0.55,0.39,0.41,0.43,0.13,0,0.17,0.22,0.31,0.25,0.4,0,0.23,0.14,0.15,0,0.16,0,0,0.13
Agricultural Inspectors,Bachelor's degree,45140,0.48,0.48,0.46,0.57,0,0.21,0,0,0.21,0.13,0.13,0.39,0.32,0.34,0.55,0.55,0.43,0.17,0.12,0.3,0.32,0.11,0.29,0.33,0.18,0.51,0.25,0.4,0.49,0,0,0.16,0.18
"Agricultural Sciences Teachers, Postsecondary",Doctoral or professional degree,95910,0.57,0.64,0.55,0.59,0,0.13,0,0,0,0,0,0.16,0.29,0.25,0.61,0.61,0.55,0.27,0.18,0.4,0.77,0.44,0.49,0.39,0.27,0.56,0.45,0.53,0.57,0.4,0.14,0.39,0.34
Agricultural Technicians,Postsecondary nondegree award,40430,0.43,0.43,0.5,0.57,0.14,0.3,0.18,0.11,0.21,0.23,0.16,0.43,0.43,0.43,0.52,0.5,0.46,0.14,0.17,0.29,0.68,0.43,0.43,0.45,0.22,0.58,0.19,0.54,0.64,0.24,0,0.11,0.13
Air Traffic Controllers,Associate's degree,129750,0.59,0.54,0.64,0.59,0,0.27,0,0,0.2,0.11,0.13,0.34,0.43,0.41,0.57,0.63,0.59,0.16,0,0.42,0,0.32,0.3,0.15,0,0.41,0.12,0.31,0.32,0,0,0,0
Aircraft Cargo Handling Supervisors,High school diploma or equivalent,53540,0.43,0.41,0.41,0.5,0.23,0.29,0.27,0.27,0.32,0.29,0.25,0.37,0.39,0.43,0.43,0.45,0.45,0.25,0,0.46,0.17,0.3,0.36,0.36,0.13,0.62,0.31,0.55,0.61,0,0,0,0.13
Aircraft Mechanics and Service Technicians,Postsecondary nondegree award,65380,0.48,0.45,0.55,0.57,0.43,0.57,0.61,0.68,0.27,0.18,0.29,0.54,0.59,0.57,0.55,0.55,0.57,0.12,0,0.3,0,0.49,0.57,0.98,0.26,0.37,0.14,0.18,0.36,0,0,0,0
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",High school diploma or equivalent,49480,0.43,0.43,0.41,0.45,0.41,0.41,0.45,0.43,0.27,0.25,0.27,0.45,0.55,0.48,0.43,0.46,0.52,0.17,0.15,0.23,0,0.28,0.41,0.54,0.25,0.39,0.23,0.31,0.23,0,0,0,0
Airfield Operations Specialists,High school diploma or equivalent,47880,0.46,0.46,0.46,0.55,0,0.16,0,0,0.3,0.3,0.21,0.29,0.3,0.41,0.5,0.57,0.54,0.15,0.17,0.26,0.28,0.24,0.34,0.4,0.27,0.55,0.18,0.43,0.56,0.09,0,0,0
"Airline Pilots, Copilots, and Flight Engineers",Bachelor's degree,202180,0.61,0.59,0.52,0.59,0,0.45,0,0.18,0.61,0.57,0.41,0.54,0.45,0.64,0.61,0.63,0.59,0.13,0.1,0.54,0,0.47,0.4,0.57,0,0.49,0,0.2,0.17,0,0,0,0.15
Allergists and Immunologists,Doctoral or professional degree,208000,0.64,0.66,0.63,0.61,0,0.16,0,0,0,0,0,0,0.36,0,0.7,0.66,0.54,0.68,0.91,0.72,0.76,0.22,0.29,0.14,0,0.64,0.48,0.57,0.51,0.11,0,0.33,0.45
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",High school diploma or equivalent,29120,0.41,0.43,0.39,0.43,0.14,0.21,0.18,0.23,0.25,0.3,0.16,0.43,0.43,0.45,0.45,0.52,0.43,0.3,0.43,0.55,0.25,0.18,0.24,0.32,0,0.45,0,0.25,0.45,0,0,0,0
Amusement and Recreation Attendants,No formal educational credential,24500,0.3,0.29,0.3,0.39,0,0.2,0.13,0.13,0.09,0,0,0.32,0.29,0.29,0.3,0.36,0.34,0.21,0.18,0.26,0,0,0.12,0.23,0.09,0.31,0.13,0.13,0.19,0,0.08,0,0.18
Anesthesiologist Assistants,Master's degree,121530,0.52,0.52,0.48,0.54,0.32,0.36,0.27,0.25,0.14,0,0,0.5,0.46,0.48,0.55,0.55,0.54,0.4,0.6,0.55,0.49,0.41,0.26,0.37,0,0.22,0.12,0.17,0.28,0,0,0.29,0.34
Anesthesiologists,Doctoral or professional degree,208000,0.61,0.59,0.57,0.63,0.07,0.32,0,0,0,0,0,0.55,0.54,0.43,0.68,0.68,0.59,0.43,0.92,0.67,0.72,0.54,0.36,0.34,0,0.48,0.25,0.38,0.29,0,0,0.23,0.26
Animal Breeders,High school diploma or equivalent,40090,0.43,0.39,0.41,0.46,0.07,0.23,0,0,0.13,0.07,0.14,0.43,0.45,0.39,0.43,0.45,0.43,0,0.36,0.22,0.49,0.18,0.29,0.43,0.35,0.57,0.51,0.2,0.57,0,0,0,0.19
Animal Caretakers,High school diploma or equivalent,28600,0.3,0.3,0.32,0.41,0.09,0.18,0,0.07,0,0,0.11,0.39,0.34,0.27,0.41,0.43,0.39,0.24,0.24,0.35,0.31,0.12,0.18,0.25,0.12,0.35,0.19,0.31,0.43,0,0.12,0.15,0.19
Animal Control Workers,High school diploma or equivalent,39160,0.41,0.41,0.39,0.5,0.05,0.05,0,0,0.25,0.23,0.29,0.41,0.36,0.36,0.55,0.48,0.41,0.3,0.3,0.47,0.36,0.18,0.17,0.28,0,0.51,0.27,0.33,0.63,0,0,0.36,0.33
Animal Scientists,Bachelor's degree,65090,0.64,0.63,0.59,0.61,0,0.14,0,0,0.11,0,0,0.09,0.21,0.29,0.7,0.63,0.57,0.25,0.42,0.42,0.83,0.53,0.51,0.42,0.41,0.62,0.42,0.47,0.56,0.24,0,0.34,0.31
Animal Trainers,High school diploma or equivalent,31280,0.41,0.45,0.39,0.48,0,0.18,0,0,0.2,0.27,0.25,0.39,0.39,0.39,0.46,0.5,0.43,0.3,0.27,0.52,0.3,0.06,0.22,0.24,0.19,0.42,0.31,0.31,0.49,0,0,0.13,0.3
Anthropologists and Archeologists,Master's degree,61910,0.57,0.6,0.56,0.62,0,0,0,0,0,0,0,0,0.32,0.22,0.68,0.66,0.57,0,0.22,0.44,0.5,0.2,0.22,0.24,0.17,0.53,0.28,0.4,0.57,0.9,0.24,0.57,0.92
"Anthropology and Archeology Teachers, Postsecondary",Doctoral or professional degree,97340,0.57,0.63,0.55,0.61,0,0,0,0,0,0,0,0.09,0.14,0,0.59,0.59,0.55,0.41,0.34,0.62,0.46,0.25,0.19,0.17,0.13,0.5,0.23,0.5,0.61,0.91,0.36,0.75,0.99
Appraisers and Assessors of Real Estate,Bachelor's degree,61340,0.53,0.47,0.43,0.55,0,0.1,0,0,0.09,0.09,0.06,0.26,0.28,0.26,0.54,0.58,0.51,0,0,0.26,0,0,0,0.19,0.52,0.53,0.44,0.32,0.65,0,0,0,0.22
"Arbitrators, Mediators, and Conciliators",Bachelor's degree,49410,0.59,0.57,0.54,0.68,0,0,0,0,0,0,0,0,0.13,0,0.57,0.61,0.46,0.4,0,0.57,0,0,0,0,0,0.41,0.34,0.63,0.51,0,0,0.2,0.31
"Architects, Except Landscape and Naval",Bachelor's degree,80180,0.64,0.59,0.61,0.64,0,0.21,0,0,0,0,0,0.27,0.34,0.3,0.59,0.71,0.57,0.13,0,0.42,0.22,0.48,0.78,0.49,0.86,0.65,0.5,0.52,0.58,0.46,0.5,0.35,0.45
Architectural and Civil Drafters,Associate's degree,60340,0.47,0.45,0.46,0.53,0,0.09,0,0,0,0,0,0.35,0.37,0.31,0.5,0.51,0.55,0,0,0.17,0.12,0.39,0.78,0.4,0.72,0.48,0.2,0.21,0.44,0.13,0,0,0
Architectural and Engineering Managers,Bachelor's degree,152350,0.61,0.55,0.61,0.61,0,0.29,0,0,0,0,0,0.25,0.32,0.29,0.61,0.61,0.55,0,0.15,0.28,0.21,0.56,0.76,0.56,0.51,0.64,0.42,0.54,0.6,0.16,0,0.2,0.21
"Architecture Teachers, Postsecondary",Doctoral or professional degree,95160,0.59,0.64,0.61,0.63,0,0,0,0,0,0,0,0.11,0.21,0,0.59,0.59,0.59,0.35,0,0.52,0.23,0.4,0.61,0.4,0.72,0.53,0.22,0.36,0.48,0.54,0.64,0.53,0.63
Archivists,Master's degree,60050,0.46,0.46,0.45,0.55,0,0.09,0,0,0,0,0,0.27,0.29,0.09,0.48,0.54,0.57,0,0,0.24,0.08,0.08,0.12,0.21,0.18,0.6,0.25,0.48,0.74,0.73,0.2,0.31,0.45
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Doctoral or professional degree,78910,0.52,0.57,0.52,0.59,0,0,0,0,0,0,0,0,0.11,0,0.54,0.54,0.45,0.34,0,0.51,0.1,0,0,0,0,0.41,0.22,0.39,0.5,0.66,0.34,0.67,0.72
Art Directors,Bachelor's degree,100890,0.54,0.54,0.52,0.57,0.18,0.18,0.14,0.13,0,0,0,0.29,0.34,0.21,0.54,0.57,0.55,0.2,0,0.37,0,0,0.32,0.16,0,0.64,0.31,0.45,0.57,0.28,0.72,0.29,0.62
Art Therapists,Bachelor's degree,59500,0.55,0.55,0.54,0.57,0.14,0,0,0,0,0,0,0.41,0.43,0.27,0.57,0.57,0.5,0.99,0.34,0.98,0.17,0,0,0.1,0,0.48,0.17,0.37,0.53,0.26,0.79,0.6,0.73
"Art, Drama, and Music Teachers, Postsecondary",Master's degree,75940,0.52,0.61,0.48,0.55,0,0,0.07,0,0,0,0,0.3,0.3,0.27,0.54,0.55,0.52,0.4,0.14,0.53,0.19,0.2,0.26,0.28,0.23,0.49,0.18,0.36,0.47,0.59,0.93,0.63,0.54
Astronomers,Doctoral or professional degree,128160,0.54,0.68,0.55,0.61,0.13,0.11,0.11,0.11,0,0,0,0.09,0.27,0.13,0.68,0.7,0.59,0,0,0.11,0.2,0.93,0.76,0.4,0,0.54,0.14,0.34,0.31,0.12,0,0,0
Athletes and Sports Competitors,No formal educational credential,77300,0.41,0.43,0.41,0.45,0,0.14,0,0.13,0.18,0.21,0.11,0.45,0.43,0.32,0.45,0.43,0.43,0.31,0.21,0.4,0,0.29,0.31,0.4,0.23,0.53,0.45,0.6,0.48,0.14,0,0.21,0.28
Athletic Trainers,Bachelor's degree,48420,0.54,0.57,0.48,0.59,0.11,0.2,0,0,0,0,0,0.41,0.43,0.29,0.59,0.59,0.55,0.65,0.64,0.68,0.49,0.37,0.21,0.25,0.08,0.5,0.1,0.44,0.59,0,0,0.25,0.47
Atmospheric and Space Scientists,Bachelor's degree,94570,0.55,0.57,0.57,0.59,0,0,0,0,0,0,0,0.11,0.18,0.13,0.61,0.63,0.54,0,0,0.27,0.31,0.76,0.54,0.12,0.09,0.51,0.15,0.33,0.35,0.16,0,0,0.25
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Doctoral or professional degree,98070,0.57,0.61,0.55,0.61,0,0,0,0,0,0,0,0,0.13,0,0.61,0.61,0.57,0.35,0.23,0.48,0.69,0.68,0.46,0.35,0.15,0.46,0.21,0.48,0.45,0.42,0.17,0.3,0.42
Audio and Video Technicians,Postsecondary nondegree award,48820,0.41,0.43,0.43,0.54,0.32,0.41,0.36,0.34,0,0,0.13,0.45,0.45,0.43,0.52,0.48,0.55,0.13,0,0.37,0,0.38,0.58,0.44,0.27,0.57,0.14,0.35,0.43,0.19,0.61,0.21,0.23
Audiologists,Doctoral or professional degree,78950,0.57,0.63,0.55,0.61,0.37,0.37,0.3,0.29,0,0,0.09,0.43,0.55,0.43,0.7,0.66,0.57,0.81,0.68,0.74,0.59,0.37,0.46,0.36,0,0.57,0.49,0.55,0.66,0,0,0.23,0.49
Audiovisual Equipment Installers and Repairers,Postsecondary nondegree award,44790,0.43,0.45,0.46,0.52,0.41,0.52,0.48,0.43,0.2,0.2,0.3,0.43,0.55,0.43,0.43,0.46,0.48,0.08,0.08,0.27,0,0.39,0.64,0.52,0.3,0.44,0.27,0.26,0.35,0,0,0.13,0.16
Automotive and Watercraft Service Attendants,No formal educational credential,29330,0.3,0.29,0.32,0.41,0.29,0.32,0.41,0.36,0.2,0.21,0.27,0.43,0.45,0.43,0.34,0.36,0.39,0,0,0.27,0,0.34,0.48,0.64,0,0.55,0.27,0.36,0.39,0,0,0,0.16
Automotive Body and Related Repairers,High school diploma or equivalent,47270,0.39,0.32,0.43,0.43,0.36,0.43,0.46,0.39,0.21,0.25,0.23,0.46,0.46,0.45,0.43,0.43,0.45,0,0,0,0,0.3,0.43,0.59,0.29,0.32,0,0,0.07,0,0,0,0
Automotive Engineering Technicians,Associate's degree,60460,0.46,0.45,0.46,0.48,0.41,0.45,0.45,0.43,0.23,0.25,0.27,0.43,0.45,0.45,0.5,0.54,0.5,0,0.06,0.24,0.19,0.63,0.72,0.75,0.26,0.48,0.27,0.39,0.49,0,0,0.09,0.13
Automotive Engineers,Bachelor's degree,95300,0.63,0.66,0.63,0.64,0,0,0,0,0.16,0.18,0.21,0.27,0.36,0.34,0.68,0.71,0.64,0.11,0,0.37,0.18,0.8,0.91,0.75,0.19,0.62,0.41,0.51,0.43,0.11,0,0.12,0.29
Automotive Glass Installers and Repairers,High school diploma or equivalent,37920,0.34,0.34,0.36,0.39,0.34,0.27,0.29,0.25,0.37,0.21,0.18,0.43,0.43,0.43,0.39,0.41,0.41,0.14,0.1,0.2,0,0.22,0.31,0.51,0,0.42,0,0.31,0.47,0,0,0,0
Automotive Service Technicians and Mechanics,Postsecondary nondegree award,46880,0.43,0.43,0.44,0.46,0.41,0.54,0.55,0.51,0.29,0.2,0.33,0.54,0.54,0.56,0.5,0.51,0.51,0,0,0,0,0.38,0.48,0.86,0,0.42,0.2,0.22,0.32,0,0,0,0
Aviation Inspectors,High school diploma or equivalent,79770,0.48,0.46,0.52,0.57,0.37,0.46,0.41,0.41,0.27,0.2,0.29,0.43,0.43,0.46,0.57,0.57,0.52,0.33,0,0.47,0,0.58,0.7,0.92,0.33,0.66,0.41,0.49,0.64,0.23,0,0.1,0.15
Avionics Technicians,Associate's degree,69280,0.46,0.45,0.5,0.54,0.43,0.57,0.57,0.57,0.11,0.09,0.13,0.45,0.54,0.46,0.54,0.55,0.55,0,0,0.19,0,0.44,0.61,0.82,0.12,0.37,0.18,0.21,0.42,0,0,0.13,0.13
Baggage Porters and Bellhops,High school diploma or equivalent,29120,0.32,0.3,0.3,0.39,0.07,0.25,0.11,0.11,0.18,0.18,0.2,0.32,0.32,0.39,0.3,0.32,0.36,0.14,0,0.24,0,0,0,0.22,0,0.28,0.22,0.22,0.26,0,0.08,0.13,0.18
Bailiffs,High school diploma or equivalent,48320,0.43,0.3,0.34,0.45,0,0,0,0,0.09,0.14,0.11,0.21,0.2,0.13,0.43,0.43,0.41,0.38,0,0.48,0,0,0,0,0,0.34,0.13,0.31,0.34,0,0,0.22,0.28
Bakers,No formal educational credential,29750,0.39,0.43,0.29,0.43,0.09,0.18,0,0.07,0,0,0,0.41,0.43,0.37,0.39,0.41,0.43,0,0,0,0,0.24,0.24,0.22,0,0.32,0.14,0.24,0.27,0.13,0,0.14,0.13
Barbers,Postsecondary nondegree award,29970,0.3,0.36,0.3,0.39,0.18,0.16,0.13,0.14,0,0,0,0.5,0.45,0.43,0.41,0.41,0.34,0.19,0,0.45,0,0,0,0.26,0,0.38,0.32,0.27,0.34,0,0,0,0
Baristas,No formal educational credential,25100,0.32,0.37,0.32,0.39,0.16,0.23,0.21,0.23,0,0,0,0.41,0.45,0.37,0.36,0.37,0.39,0,0,0.16,0,0,0,0.16,0,0.33,0.18,0.25,0.17,0,0.13,0,0.11
Bartenders,No formal educational credential,26350,0.41,0.43,0.37,0.41,0,0.18,0,0,0,0,0,0.43,0.43,0.37,0.43,0.43,0.43,0.22,0.11,0.31,0,0,0,0,0,0.32,0.19,0.29,0.33,0.07,0.05,0.15,0.31
Bicycle Repairers,High school diploma or equivalent,34690,0.39,0.36,0.43,0.45,0.37,0.43,0.45,0.41,0.11,0.09,0.07,0.45,0.54,0.43,0.41,0.41,0.45,0,0,0.12,0,0.38,0.54,0.82,0.5,0.49,0.15,0.2,0.51,0.16,0,0,0.14
Bill and Account Collectors,High school diploma or equivalent,37700,0.39,0.39,0.41,0.5,0,0.07,0,0,0,0,0,0.11,0.25,0.07,0.45,0.41,0.41,0,0,0.19,0,0,0,0,0,0.61,0.45,0.19,0.58,0,0,0,0
Billing and Posting Clerks,High school diploma or equivalent,38330,0.37,0.38,0.37,0.45,0,0,0,0,0,0,0,0.13,0.3,0.13,0.43,0.43,0.44,0,0,0,0,0,0,0,0,0.27,0.4,0.18,0.67,0,0,0,0
Biochemists and Biophysicists,Doctoral or professional degree,102270,0.61,0.75,0.61,0.73,0.34,0.2,0.16,0.16,0,0,0,0.41,0.39,0.29,0.75,0.71,0.61,0.22,0.47,0.26,0.92,0.8,0.59,0.49,0.24,0.56,0.2,0.36,0.38,0,0,0.14,0.15
Bioengineers and Biomedical Engineers,Bachelor's degree,97410,0.68,0.68,0.66,0.68,0.39,0.48,0.37,0.41,0,0,0,0.34,0.41,0.36,0.68,0.68,0.57,0.26,0.62,0.37,0.8,0.78,0.93,0.69,0.21,0.62,0.3,0.4,0.4,0,0,0.12,0.15
Biofuels Processing Technicians,High school diploma or equivalent,50250,0.46,0.39,0.43,0.45,0.32,0.46,0.45,0.48,0.3,0.25,0.32,0.46,0.46,0.52,0.45,0.45,0.48,0,0.11,0.16,0.3,0.45,0.48,0.62,0.42,0.34,0.14,0.19,0.3,0,0,0,0
Biofuels Production Managers,Bachelor's degree,103150,0.55,0.52,0.54,0.55,0,0.29,0,0,0.14,0,0,0.37,0.27,0.32,0.55,0.55,0.54,0.15,0.09,0.46,0.47,0.52,0.68,0.77,0.56,0.71,0.43,0.57,0.61,0.06,0,0,0.24
Biofuels/Biodiesel Technology and Product Development Managers,Bachelor's degree,152350,0.55,0.54,0.55,0.59,0.3,0.23,0.18,0.2,0,0,0,0.39,0.43,0.39,0.59,0.63,0.55,0,0,0.18,0.39,0.53,0.67,0.55,0.44,0.52,0.3,0.35,0.55,0,0,0,0
Bioinformatics Scientists,Bachelor's degree,82530,0.61,0.61,0.61,0.63,0,0,0,0,0,0,0,0.18,0.39,0.25,0.66,0.68,0.61,0,0.31,0.18,0.89,0.45,0.51,0.2,0,0.4,0,0.43,0.51,0,0,0,0
Bioinformatics Technicians,Bachelor's degree,62460,0.5,0.55,0.48,0.54,0,0,0,0,0,0,0,0,0.32,0,0.55,0.54,0.52,0,0.37,0.3,0.72,0.31,0.42,0,0,0.47,0,0.25,0.44,0,0,0,0
"Biological Science Teachers, Postsecondary",Doctoral or professional degree,81440,0.59,0.64,0.54,0.59,0,0.13,0.13,0.09,0,0,0,0.16,0.21,0.16,0.61,0.59,0.57,0.33,0.45,0.5,0.97,0.49,0.39,0.36,0,0.45,0.23,0.44,0.52,0.32,0.09,0.41,0.41
Biological Technicians,Bachelor's degree,48140,0.5,0.55,0.5,0.57,0.21,0.37,0.13,0.25,0,0,0,0.43,0.43,0.39,0.59,0.57,0.55,0,0,0.12,0.82,0.24,0.19,0.28,0,0.23,0,0.2,0.33,0,0,0,0
Biologists,Bachelor's degree,82530,0.57,0.66,0.61,0.64,0,0.13,0,0,0.09,0.07,0.07,0.37,0.37,0.21,0.71,0.7,0.59,0,0.18,0.23,0.78,0.4,0.49,0.33,0.27,0.52,0.36,0.43,0.6,0.26,0,0,0.3
Biomass Plant Technicians,High school diploma or equivalent,80850,0.43,0.43,0.43,0.45,0.3,0.41,0.41,0.45,0.29,0.29,0.25,0.43,0.43,0.54,0.45,0.45,0.48,0,0,0.21,0.24,0.45,0.47,0.64,0.39,0.41,0,0.28,0.32,0,0,0,0
Biomass Power Plant Managers,Bachelor's degree,103150,0.55,0.48,0.54,0.57,0.29,0.43,0.39,0.39,0.16,0.07,0.07,0.39,0.37,0.41,0.57,0.61,0.55,0.41,0.14,0.56,0.23,0.57,0.69,0.79,0.59,0.71,0.54,0.64,0.61,0,0,0.22,0.2
Biostatisticians,Master's degree,95570,0.63,0.7,0.64,0.7,0.09,0,0,0,0,0,0,0.07,0.23,0.05,0.71,0.7,0.61,0.14,0.42,0.48,0.61,0.18,0.32,0,0,0.43,0.23,0.41,0.43,0,0,0,0.33
Boilermakers,High school diploma or equivalent,64290,0.45,0.43,0.45,0.45,0.39,0.43,0.45,0.43,0.3,0.25,0.25,0.45,0.48,0.54,0.46,0.46,0.43,0.07,0,0.18,0.15,0.33,0.48,0.67,0.71,0.34,0.24,0.3,0.31,0,0,0,0
"Bookkeeping, Accounting, and Auditing Clerks","Some college, no degree",45560,0.41,0.45,0.41,0.46,0,0,0,0,0,0,0,0.25,0.34,0.25,0.46,0.45,0.45,0,0,0.22,0,0,0,0.09,0,0.35,0.48,0.27,0.69,0,0,0,0.09
Brickmasons and Blockmasons,High school diploma or equivalent,59340,0.3,0.3,0.32,0.43,0.29,0.29,0.27,0.29,0.29,0.2,0.16,0.45,0.43,0.41,0.39,0.39,0.45,0,0.09,0.17,0,0.2,0.48,0.53,0.83,0.47,0,0.27,0.15,0,0,0,0.09
Bridge and Lock Tenders,High school diploma or equivalent,45390,0.37,0.3,0.39,0.43,0.11,0.29,0.18,0.2,0.43,0.3,0.3,0.39,0.37,0.46,0.39,0.41,0.43,0,0,0,0,0.17,0.29,0.39,0.31,0.35,0.2,0.25,0.35,0,0,0,0
Broadcast Announcers and Radio Disc Jockeys,Bachelor's degree,37630,0.45,0.46,0.43,0.55,0.11,0.11,0.09,0.09,0.09,0.09,0.13,0.23,0.25,0.3,0.48,0.54,0.46,0.23,0.11,0.39,0,0,0.34,0,0,0.48,0.19,0.27,0.45,0.31,0.44,0.33,0.42
Broadcast Technicians,Associate's degree,44740,0.45,0.45,0.46,0.48,0.43,0.45,0.37,0.41,0.11,0.11,0.11,0.39,0.43,0.43,0.45,0.52,0.45,0,0,0.15,0,0.2,0.57,0.44,0.33,0.35,0.1,0.29,0.36,0,0,0,0
