factor,item,loading,crossloadings
factor12,skl_reading_comprehension,0.43393002667180086,1.664027341837901
factor13,skl_programming,0.5339104794860552,0.6985534823178428
factor13,abl_inductive_reasoning,0.5326812406410049,1.848809323945557
factor13,skl_operations_analysis,0.5217176770350404,1.6621980543774177
factor13,abl_deductive_reasoning,0.5164521948665021,1.8787388620627445
factor13,skl_complex_problem_solving,0.5149700283311498,1.914133042686755
factor13,skl_judgment_and_decision,0.5080160754741485,1.9072298029796884
factor13,abl_information_ordering,0.5054567724403493,2.0906338455236995
factor13,abl_problem_sensitivity,0.47983977031749464,2.070350718657349
factor13,abl_fluency_of_ideas,0.46535408784504523,1.9428855183753113
factor13,abl_category_flexibility,0.456770951859094,1.8400553174032819
factor13,skl_technology_design,0.436260153086279,1.8046670564438214
factor13,skl_systems_analysis,0.43170100808887774,2.0247891995379814
factor13,skl_systems_evaluation,0.42991968759238136,2.1551006970102007
factor13,skl_active_learning,0.4248027249220425,1.8787451546414653
factor13,abl_originality,0.41704675834740224,1.9668724211026096
factor13,abl_written_comprehension,0.3891862103552556,1.5374051561130075
factor14,abl_arm_hand_steadiness,0.6673571713899331,-0.060807429599445406
factor14,abl_manual_dexterity,0.6520212783449948,-0.21683594668789702
factor14,abl_control_precision,0.646573476169803,0.23622556231566627
factor14,abl_wrist_finger_speed,0.564907042959302,0.4954856969324054
factor14,abl_finger_dexterity,0.5567688935462407,0.1432073516122686
factor14,abl_multilimb_coordination,0.5257561977775812,0.30540559129731504
factor14,skl_operation_and_control,0.4719908821964055,1.0110625720846467
