occupation,employment_variants,employment_norm,wage
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2148350,6510.15151515152,29760.0
"Jewelers and Precious Stone and Metal Workers",13140,39.8181818181818,46640.0
"Judges, Magistrate Judges, and Magistrates",28230,85.5454545454545,148030.0
"Judicial Law Clerks",15540,47.0909090909091,50750.0
"Kindergarten Teachers, Except Special Education",119250,361.363636363636,60900.0
"Labor Relations Specialists",62200,188.484848484848,77010.0
"Laborers and Freight, Stock, and Material Movers, Hand",1467025,4445.5303030303,31230.0
"Landscape Architects",18120,54.9090909090909,67950.0
"Landscaping and Groundskeeping Workers",914230,2770.39393939394,34430.0
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",19410,58.8181818181818,44240.0
"Laundry and Dry-Cleaning Workers",175730,532.515151515152,28350.0
"Law Teachers, Postsecondary",14830,44.9393939393939,123470.0
Lawyers,707160,2142.90909090909,127990.0
"Layout Workers, Metal and Plastic",6890,20.8787878787879,51690.0
"Legal Secretaries and Administrative Assistants",159940,484.666666666667,47710.0
"Librarians and Media Collections Specialists",131680,399.030303030303,61190.0
"Library Assistants, Clerical",77660,235.333333333333,29450.0
"Library Science Teachers, Postsecondary",4330,13.1212121212121,77100.0
"Library Technicians",73330,222.212121212121,36970.0
"Licensed Practical and Licensed Vocational Nurses",632020,1915.21212121212,48070.0
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",107930,327.060606060606,25630.0
"Light Truck Drivers",1059840,3211.63636363636,38280.0
"Loading and Moving Machine Operators, Underground Mining",5210,15.7878787878788,57900.0
"Loan Interviewers and Clerks",242630,735.242424242424,45940.0
"Loan Officers",345550,1047.12121212121,63380.0
"Locker Room, Coatroom, and Dressing Room Attendants",12130,36.7575757575758,28570.0
"Locksmiths and Safe Repairers",15240,46.1818181818182,46910.0
"Locomotive Engineers",36440,110.424242424242,79740.0
"Lodging Managers",39870,120.818181818182,59430.0
"Log Graders and Scalers",3950,11.969696969697,37820.0
"Logging Equipment Operators",24780,75.0909090909091,46400.0
Logisticians,67656,205.018181818182,77030.0
"Logistics Analysts",67656,205.018181818182,77030.0
"Logistics Engineers",67656,205.018181818182,77030.0
"Loss Prevention Managers",90548,274.387878787879,124650.0
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",67490,204.515151515152,85570.0
"Machine Feeders and Offbearers",51010,154.575757575758,37010.0
Machinists,316860,960.181818181818,47730.0
"Magnetic Resonance Imaging Technologists",38380,116.30303030303,77360.0
"Maids and Housekeeping Cleaners",771390,2337.54545454545,28780.0
"Mail Clerks and Mail Machine Operators, Except Postal Service",67750,205.30303030303,32550.0
"Maintenance Workers, Machinery",62770,190.212121212121,48900.0
"Maintenance and Repair Workers, General",1485990,4503.0,43180.0
"Makeup Artists, Theatrical and Performance",2970,9.0,134750.0
"Management Analysts",808860,2451.09090909091,93000.0
"Manicurists and Pedicurists",138020,418.242424242424,29210.0
"Manufactured Building and Mobile Home Installers",3630,11.0,36360.0
"Manufacturing Engineers",80350,243.484848484848,95300.0
"Marine Engineers and Naval Architects",7450,22.5757575757576,93370.0
"Market Research Analysts and Marketing Specialists",399310,1210.0303030303,63920.0
"Marketing Managers",328570,995.666666666667,135030.0
"Marriage and Family Therapists",62080,188.121212121212,49880.0
"Massage Therapists",86270,261.424242424242,46910.0
"Materials Engineers",21510,65.1818181818182,98300.0
"Materials Scientists",7620,23.0909090909091,100090.0
"Mathematical Science Teachers, Postsecondary",46560,141.090909090909,77580.0
Mathematicians,2070,6.27272727272727,108100.0
"Meat, Poultry, and Fish Cutters and Trimmers",133460,404.424242424242,29730.0
"Mechanical Door Repairs",27330,82.8181818181818,45060.0
"Mechanical Drafters",47540,144.060606060606,60200.0
"Mechanical Engineering Technologists and Technicians",19805,60.0151515151515,60460.0
"Mechanical Engineers",92520,280.363636363636,95300.0
"Mechatronics Engineers",18802,56.9757575757576,100640.0
"Media Programming Directors",38442,116.490909090909,79000.0
"Media Technical Directors/Managers",38442,116.490909090909,79000.0
"Medical Appliance Technicians",15680,47.5151515151515,45280.0
"Medical Assistants",752460,2280.18181818182,37190.0
"Medical Equipment Preparers",63890,193.606060606061,38220.0
"Medical Equipment Repairers",58830,178.272727272727,49910.0
"Medical Scientists, Except Epidemiologists",110550,335.0,95310.0
"Medical Secretaries and Administrative Assistants",682630,2068.57575757576,37450.0
"Medical Transcriptionists",48680,147.515151515152,30100.0
"Medical and Clinical Laboratory Technicians",335500,1016.66666666667,57800.0
"Medical and Clinical Laboratory Technologists",111833,338.887878787879,57800.0
"Medical and Health Services Managers",476750,1444.69696969697,101340.0
"Meeting, Convention, and Event Planners",112070,339.606060606061,49470.0
"Mental Health Counselors",351000,1063.63636363636,48520.0
"Mental Health and Substance Abuse Social Workers",107940,327.090909090909,49130.0
"Merchandise Displayers and Window Trimmers",173110,524.575757575758,32060.0
"Metal-Refining Furnace Operators and Tenders",19320,58.5454545454545,46690.0
"Meter Readers, Utilities",20460,62.0,45720.0
Microbiologists,19710,59.7272727272727,79260.0
"Microsystems Engineers",18802,56.9757575757576,100640.0
"Middle School Teachers, Except Special and Career/Technical Education",611120,1851.87878787879,61320.0
Midwives,41130,124.636363636364,58750.0
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",15480,46.9090909090909,46850.0
Millwrights,40930,124.030303030303,60330.0
"Mining and Geological Engineers, Including Mining Safety Engineers",7390,22.3939393939394,97090.0
"Mixing and Blending Machine Setters, Operators, and Tenders",108900,330.0,38420.0
"Mobile Heavy Equipment Mechanics, Except Engines",158350,479.848484848485,58030.0
"Model Makers, Metal and Plastic",3350,10.1515151515152,55630.0
"Model Makers, Wood",720,2.18181818181818,60780.0
Models,2070,6.27272727272727,32730.0
"Molders, Shapers, and Casters, Except Metal and Plastic",9765,29.5909090909091,37500.0
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",165820,502.484848484848,36370.0
"Molecular and Cellular Biologists",13825,41.8939393939394,82530.0
"Morticians, Undertakers, and Funeral Arrangers",23940,72.5454545454545,48950.0
"Motion Picture Projectionists",1900,5.75757575757576,29350.0
"Motorboat Mechanics and Service Technicians",24920,75.5151515151515,46730.0
"Motorboat Operators",3110,9.42424242424242,38670.0
"Motorcycle Mechanics",14700,44.5454545454545,38170.0
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",137060,415.333333333333,37630.0
"Museum Technicians and Conservators",12240,37.0909090909091,47630.0
"Music Directors and Composers",11690,35.4242424242424,49130.0
"Music Therapists",8460,25.6363636363636,59500.0
"Musical Instrument Repairers and Tuners",6330,19.1818181818182,37160.0
"Musicians and Singers",31750,96.2121212121212,63419.0
Nannies,229730,696.151515151515,27490.0
"Nanosystems Engineers",18802,56.9757575757576,100640.0
"Nanotechnology Engineering Technologists and Technicians",33280,100.848484848485,60220.0
"Natural Sciences Managers",27523,83.4030303030303,137900.0
"Naturopathic Physicians",15040,45.5757575757576,100300.0
"Network and Computer Systems Administrators",325930,987.666666666667,80600.0
"Neurodiagnostic Technologists",54266,164.442424242424,45720.0
Neurologists,11340,34.3636363636364,208000.0
"New Accounts Clerks",45170,136.878787878788,37840.0
"News Analysts, Reporters, and Journalists",44530,134.939393939394,48370.0
"Non-Destructive Testing Specialists",35125,106.439393939394,61950.0
"Nuclear Engineers",12250,37.1212121212121,120380.0
"Nuclear Medicine Technologists",16910,51.2424242424242,78760.0
"Nuclear Monitoring Technicians",2940,8.90909090909091,99340.0
"Nuclear Power Reactor Operators",5450,16.5151515151515,104260.0
"Nuclear Technicians",2940,8.90909090909091,99340.0
"Nurse Anesthetists",46540,141.030303030303,195610.0
"Nurse Midwives",7950,24.0909090909091,112830.0
"Nurse Practitioners",258230,782.515151515152,120680.0
"Nursing Assistants",1310090,3969.9696969697,30310.0
"Nursing Instructors and Teachers, Postsecondary",69190,209.666666666667,77440.0
"Obstetricians and Gynecologists",21450,65.0,208000.0
"Occupational Health and Safety Specialists",109430,331.606060606061,77560.0
"Occupational Health and Safety Technicians",23670,71.7272727272727,51120.0
"Occupational Therapists",67490,204.515151515152,85570.0
"Occupational Therapy Aides",3710,11.2424242424242,33560.0
"Occupational Therapy Assistants",43810,132.757575757576,61730.0
"Office Clerks, General",2517350,7628.33333333333,37030.0
"Office Machine Operators, Except Computer",30410,92.1515151515152,36630.0
"Online Merchants",360410,1092.15151515152,74670.0
"Operating Engineers and Other Construction Equipment Operators",423040,1281.93939393939,48360.0
"Operations Research Analysts",105080,318.424242424242,82360.0
"Ophthalmic Laboratory Technicians",20200,61.2121212121212,37270.0
"Ophthalmic Medical Technicians",66060,200.181818181818,37180.0
"Ophthalmic Medical Technologists",54266,164.442424242424,45720.0
"Ophthalmologists, Except Pediatric",12580,38.1212121212121,208000.0
"Opticians, Dispensing",73460,222.606060606061,37570.0
Optometrists,40640,123.151515151515,124300.0
"Oral and Maxillofacial Surgeons",4290,13.0,208000.0
"Order Clerks",113500,343.939393939394,37920.0
Orderlies,44790,135.727272727273,29990.0
Orthodontists,6310,19.1212121212121,208000.0
Orthoptists,15040,45.5757575757576,100300.0
"Orthotists and Prosthetists",9150,27.7272727272727,75440.0
"Outdoor Power Equipment and Other Small Engine Mechanics",35570,107.787878787879,37540.0
"Packaging and Filling Machine Operators and Tenders",369330,1119.18181818182,35960.0
"Packers and Packagers, Hand",653870,1981.42424242424,29940.0
"Painters, Construction and Maintenance",215680,653.575757575758,45590.0
"Painting, Coating, and Decorating Workers",11990,36.3333333333333,37330.0
"Paper Goods Machine Setters, Operators, and Tenders",92050,278.939393939394,44820.0
Paperhangers,2220,6.72727272727273,47610.0
"Paralegals and Legal Assistants",345240,1046.18181818182,56230.0
"Park Naturalists",7626,23.1090909090909,63750.0
"Parking Attendants",105290,319.060606060606,29240.0
"Parking Enforcement Workers",8150,24.6969696969697,46590.0
"Parts Salespersons",259280,785.69696969697,34260.0
"Passenger Attendants",13200,40.0,30470.0
"Patient Representatives",54266,164.442424242424,45720.0
"Patternmakers, Metal and Plastic",2230,6.75757575757576,48090.0
"Patternmakers, Wood",330,1.0,46920.0
"Paving, Surfacing, and Tamping Equipment Operators",41470,125.666666666667,46960.0
"Payroll and Timekeeping Clerks",159190,482.393939393939,47610.0
"Pediatricians, General",33430,101.30303030303,170480.0
"Personal Care Aides",3636900,11020.9090909091,29430.0
"Personal Financial Advisors",283060,857.757575757576,94170.0
"Pest Control Workers",91160,276.242424242424,37540.0
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",22740,68.9090909090909,38270.0
"Petroleum Engineers",20540,62.2424242424242,130850.0
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",31360,95.030303030303,79540.0
Pharmacists,325480,986.30303030303,128570.0
"Pharmacy Aides",43230,131.0,29930.0
"Pharmacy Technicians",453630,1374.63636363636,36740.0
"Philosophy and Religion Teachers, Postsecondary",21620,65.5151515151515,77610.0
Phlebotomists,137090,415.424242424242,37380.0
Photographers,47380,143.575757575758,38950.0
"Photographic Process Workers and Processing Machine Operators",5380,16.3030303030303,36590.0
"Photonics Engineers",18802,56.9757575757576,100640.0
"Photonics Technicians",35125,106.439393939394,61950.0
"Physical Medicine and Rehabilitation Physicians",50876,154.169696969697,208000.0
"Physical Therapist Aides",42800,129.69696969697,29200.0
"Physical Therapist Assistants",97740,296.181818181818,61180.0
"Physical Therapists",229740,696.181818181818,95620.0
"Physician Assistants",70455,213.5,121530.0
"Physicians, Pathologists",12320,37.3333333333333,208000.0
Physicists,18840,57.0909090909091,152430.0
"Physics Teachers, Postsecondary",12860,38.969696969697,93070.0
"Pile Driver Operators",3290,9.96969696969697,76260.0
Pipelayers,36070,109.30303030303,45980.0
"Plasterers and Stucco Masons",25950,78.6363636363636,48340.0
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",32050,97.1212121212121,37200.0
"Plumbers, Pipefitters, and Steamfitters",213960,648.363636363636,59880.0
Podiatrists,9320,28.2424242424242,145840.0
"Poets, Lyricists and Creative Writers",27005,81.8333333333333,69510.0
"Police Identification and Records Officers",35800,108.484848484848,83640.0
"Police and Sheriff's Patrol Officers",327945,993.772727272727,64610.0
"Political Science Teachers, Postsecondary",15190,46.030303030303,81980.0
"Political Scientists",5660,17.1515151515152,122510.0
"Postal Service Clerks",77690,235.424242424242,52290.0
"Postal Service Mail Carriers",326760,990.181818181818,52440.0
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",119530,362.212121212121,48550.0
"Postmasters and Mail Superintendents",13460,40.7878787878788,80250.0
"Potters, Manufacturing",9765,29.5909090909091,37500.0
"Pourers and Casters, Metal",6070,18.3939393939394,45850.0
"Power Distributors and Dispatchers",9380,28.4242424242424,98530.0
"Power Plant Operators",10530,31.9090909090909,80850.0
"Precision Agriculture Technicians",6570,19.9090909090909,40430.0
"Prepress Technicians and Workers",25250,76.5151515151515,42610.0
"Preschool Teachers, Except Special Education",415360,1258.66666666667,30210.0
"Pressers, Textile, Garment, and Related Materials",28570,86.5757575757576,28680.0
"Preventive Medicine Physicians",50876,154.169696969697,208000.0
"Print Binding and Finishing Workers",39030,118.272727272727,36590.0
"Printing Press Operators",150010,454.575757575758,37770.0
"Private Detectives and Investigators",32050,97.1212121212121,59380.0
"Probation Officers and Correctional Treatment Specialists",89920,272.484848484848,60250.0
"Procurement Clerks",63340,191.939393939394,45150.0
"Producers and Directors",38442,116.490909090909,79000.0
"Production, Planning, and Expediting Clerks",389920,1181.57575757576,48040.0
"Proofreaders and Copy Markers",5120,15.5151515151515,43940.0
"Property, Real Estate, and Community Association Managers",261120,791.272727272727,59230.0
Prosthodontists,146200,443.030303030303,100950.0
"Psychiatric Aides",30590,92.6969696969697,30260.0
"Psychiatric Technicians",100950,305.909090909091,36570.0
Psychiatrists,26500,80.3030303030303,208000.0
"Psychology Teachers, Postsecondary",40050,121.363636363636,77860.0
"Public Relations Specialists",264750,802.272727272727,62800.0
"Public Safety Telecommunicators",95730,290.090909090909,46670.0
"Pump Operators, Except Wellhead Pumpers",10870,32.9393939393939,49580.0
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",459800,1393.33333333333,63470.0
"Purchasing Managers",75070,227.484848484848,127150.0
"Quality Control Analysts",35385,107.227272727273,48030.0
"Quality Control Systems Managers",35285,106.924242424242,103150.0
"Radiation Therapists",15510,47.0,82790.0
"Radio Frequency Identification Device Specialists",53320,161.575757575758,104820.0
"Radio, Cellular, and Tower Equipment Installers and Repairers",13020,39.4545454545455,60360.0
"Radiologic Technologists and Technicians",215820,654.0,61370.0
Radiologists,29250,88.6363636363636,208000.0
"Rail Car Repairers",19830,60.0909090909091,60250.0
"Rail Yard Engineers, Dinkey Operators, and Hostlers",2680,8.12121212121212,61090.0
"Rail-Track Laying and Maintenance Equipment Operators",18600,56.3636363636364,61690.0
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",14210,43.0606060606061,63840.0
"Railroad Conductors and Yardmasters",40940,124.060606060606,63960.0
"Range Managers",7626,23.1090909090909,63750.0
"Real Estate Brokers",52310,158.515151515152,62010.0
"Real Estate Sales Agents",193010,584.878787878788,48340.0
"Receptionists and Information Clerks",1011170,3064.15151515152,29950.0
"Recreation Workers",270380,819.333333333333,29680.0
"Recreation and Fitness Studies Teachers, Postsecondary",13400,40.6060606060606,72440.0
"Recreational Therapists",15920,48.2424242424242,47940.0
"Recreational Vehicle Service Technicians",17190,52.0909090909091,43560.0
"Recycling Coordinators",268050,812.272727272727,54850.0
"Recycling and Reclamation Workers",1467025,4445.5303030303,31230.0
"Refractory Materials Repairers, Except Brickmasons",580,1.75757575757576,54250.0
"Refuse and Recyclable Material Collectors",132240,400.727272727273,38500.0
"Registered Nurses",614540,1862.24242424242,77600.0
"Regulatory Affairs Managers",90548,274.387878787879,124650.0
"Regulatory Affairs Specialists",51377,155.687878787879,71650.0
"Rehabilitation Counselors",82420,249.757575757576,38560.0
"Reinforcing Iron and Rebar Workers",17270,52.3333333333333,48830.0
"Remote Sensing Scientists and Technologists",19820,60.0606060606061,104100.0
"Remote Sensing Technicians",35385,107.227272727273,49030.0
"Reservation and Transportation Ticket Agents and Travel Clerks",119130,361.0,39900.0
"Residential Advisors",86770,262.939393939394,31220.0
"Respiratory Therapists",129910,393.666666666667,61830.0
"Retail Loss Prevention Specialists",93840,284.363636363636,38210.0
"Retail Salespersons",3640040,11030.4242424242,29120.0
Riggers,19260,58.3636363636364,48130.0
"Robotics Engineers",18802,56.9757575757576,100640.0
"Robotics Technicians",7270,22.030303030303,60360.0
"Rock Splitters, Quarry",3910,11.8484848484848,37700.0
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",27900,84.5454545454545,46210.0
"Roof Bolters, Mining",1700,5.15151515151515,59770.0
Roofers,131980,399.939393939394,47110.0
"Rotary Drill Operators, Oil and Gas",12190,36.9393939393939,56380.0
"Roustabouts, Oil and Gas",39100,118.484848484848,38920.0
"Sailors and Marine Oilers",28500,86.3636363636364,46720.0
"Sales Engineers",59700,180.909090909091,103710.0
"Sales Managers",536390,1625.42424242424,127490.0
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1273400,3858.78787878788,61600.0
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",145415,440.651515151515,94840.0
"Sawing Machine Setters, Operators, and Tenders, Wood",46400,140.606060606061,35340.0
"School Psychologists",60250,182.575757575758,78780.0
"Search Marketing Strategists",399310,1210.0303030303,63920.0
"Secondary School Teachers, Except Special and Career/Technical Education",1042090,3157.84848484848,61820.0
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1826710,5535.48484848485,37880.0
"Securities, Commodities, and Financial Services Sales Agents",443220,1343.09090909091,62910.0
"Security Guards",1124890,3408.75757575758,31470.0
"Security and Fire Alarm Systems Installers",80720,244.606060606061,48320.0
"Segmental Pavers",32900,99.6969696969697,39850.0
"Self-Enrichment Teachers",248150,751.969696969697,43580.0
"Semiconductor Processing Technicians",23860,72.3030303030303,39870.0
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",52470,159.0,46030.0
"Septic Tank Servicers and Sewer Pipe Cleaners",27660,83.8181818181818,44810.0
"Service Unit Operators, Oil and Gas",36320,110.060606060606,48410.0
"Set and Exhibit Designers",9490,28.7575757575758,54860.0
"Sewers, Hand",3440,10.4242424242424,29930.0
"Sewing Machine Operators",116750,353.787878787879,29690.0
Shampooers,7480,22.6666666666667,24440.0
"Sheet Metal Workers",120810,366.090909090909,53440.0
"Ship Engineers",8650,26.2121212121212,82410.0
"Shipping, Receiving, and Inventory Clerks",848240,2570.42424242424,36890.0
"Shoe Machine Operators and Tenders",2960,8.96969696969697,28560.0
"Shoe and Leather Workers and Repairers",8860,26.8484848484848,31450.0
"Signal and Track Switch Repairers",6880,20.8484848484848,80570.0
"Skincare Specialists",61990,187.848484848485,37300.0
"Slaughterers and Meat Packers",78660,238.363636363636,29900.0
"Social Science Research Assistants",28720,87.030303030303,49720.0
"Social Work Teachers, Postsecondary",12050,36.5151515151515,71010.0
"Social and Community Service Managers",162880,493.575757575758,74000.0
"Social and Human Service Assistants",399560,1210.78787878788,37610.0
Sociologists,2980,9.03030303030303,92910.0
"Sociology Teachers, Postsecondary",12030,36.4545454545455,77980.0
"Software Quality Assurance Analysts and Testers",196420,595.212121212121,98220.0
"Soil and Plant Scientists",16010,48.5151515151515,66750.0
"Solar Energy Installation Managers",360450,1092.27272727273,72010.0
"Solar Energy Systems Engineers",18802,56.9757575757576,100640.0
"Solar Photovoltaic Installers",27760,84.1212121212121,47670.0
"Solar Sales Representatives and Assessors",145415,440.651515151515,94840.0
"Solar Thermal Installers and Technicians",213960,648.363636363636,59880.0
"Sound Engineering Technicians",13420,40.6666666666667,60500.0
"Spa Managers",4420,13.3939393939394,60360.0
"Special Education Teachers, Middle School",82970,251.424242424242,61820.0
"Special Education Teachers, Preschool",22970,69.6060606060606,62420.0
"Special Education Teachers, Secondary School",152490,462.090909090909,62120.0
"Special Effects Artists and Animators",35990,109.060606060606,78790.0
"Speech-Language Pathologists",162760,493.212121212121,79060.0
"Speech-Language Pathology Assistants",53585,162.378787878788,37740.0
"Sports Medicine Physicians",50876,154.169696969697,208000.0
"Stationary Engineers and Boiler Operators",31470,95.3636363636364,63500.0
"Statistical Assistants",6710,20.3333333333333,48160.0
Statisticians,15390,46.6363636363636,95570.0
"Stockers and Order Fillers",2842060,8612.30303030303,30110.0
"Stone Cutters and Carvers, Manufacturing",9765,29.5909090909091,37500.0
Stonemasons,10220,30.969696969697,47610.0
"Structural Iron and Steel Workers",66810,202.454545454545,58550.0
"Structural Metal Fabricators and Fitters",58870,178.393939393939,45480.0
"Substance Abuse and Behavioral Disorder Counselors",327500,992.424242424242,48520.0
"Subway and Streetcar Operators",9120,27.6363636363636,81180.0
"Supply Chain Managers",84955,257.439393939394,98230.0
"Surgical Assistants",18650,56.5151515151515,48320.0
"Surgical Technologists",107400,325.454545454545,48530.0
"Survey Researchers",7880,23.8787878787879,59740.0
"Surveying and Mapping Technicians",56580,171.454545454545,46910.0
Surveyors,23885,72.3787878787879,61600.0
"Sustainability Specialists",360410,1092.15151515152,74670.0
"Switchboard Operators, Including Answering Service",47430,143.727272727273,30150.0
"Tailors, Dressmakers, and Custom Sewers",16870,51.1212121212121,31420.0
"Talent Directors",38442,116.490909090909,79000.0
"Tank Car, Truck, and Ship Loaders",12470,37.7878787878788,49390.0
Tapers,14290,43.3030303030303,61080.0
"Tax Examiners and Collectors, and Revenue Agents",50610,153.363636363636,56780.0
"Tax Preparers",82370,249.606060606061,46290.0
"Teaching Assistants, Postsecondary",135160,409.575757575758,38040.0
"Team Assemblers",1262800,3826.66666666667,36590.0
"Technical Writers",48620,147.333333333333,78060.0
"Telecommunications Engineering Specialists",86960,263.515151515152,120520.0
"Telecommunications Equipment Installers and Repairers, Except Line Installers",168180,509.636363636364,60370.0
"Telecommunications Line Installers and Repairers",107670,326.272727272727,60190.0
Telemarketers,96520,292.484848484848,28910.0
"Telephone Operators",4030,12.2121212121212,37630.0
Tellers,352440,1068.0,36310.0
"Terrazzo Workers and Finishers",1460,4.42424242424242,48680.0
"Textile Bleaching and Dyeing Machine Operators and Tenders",6640,20.1212121212121,29930.0
"Textile Cutting Machine Setters, Operators, and Tenders",10700,32.4242424242424,29960.0
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",16900,51.2121212121212,33990.0
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",23830,72.2121212121212,30020.0
"Tile and Stone Setters",40760,123.515151515152,47810.0
"Timing Device Assemblers and Adjusters",370,1.12121212121212,37780.0
"Tire Builders",18360,55.6363636363636,47940.0
"Tire Repairers and Changers",99980,302.969696969697,29580.0
"Title Examiners, Abstractors, and Searchers",53680,162.666666666667,47310.0
"Tool Grinders, Filers, and Sharpeners",5320,16.1212121212121,38430.0
"Tool and Die Makers",61730,187.060606060606,57000.0
"Tour Guides and Escorts",43400,131.515151515152,29780.0
"Traffic Technicians",7310,22.1515151515152,48610.0
"Training and Development Managers",39550,119.848484848485,120130.0
"Training and Development Specialists",367180,1112.66666666667,61570.0
"Transit and Railroad Police",3370,10.2121212121212,64930.0
"Transportation Engineers",102523,310.675757575758,88050.0
"Transportation Inspectors",8140,24.6666666666667,79770.0
"Transportation Planners",33210,100.636363636364,84430.0
"Transportation Security Screeners",47550,144.090909090909,45470.0
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",8140,24.6666666666667,79770.0
"Transportation, Storage, and Distribution Managers",84955,257.439393939394,98230.0
"Travel Agents",53180,161.151515151515,43810.0
"Travel Guides",43400,131.515151515152,29780.0
"Treasurers and Controllers",246926,748.260606060606,131710.0
"Tree Trimmers and Pruners",48150,145.909090909091,46970.0
Tutors,174980,530.242424242424,36470.0
"Umpires, Referees, and Other Sports Officials",12720,38.5454545454545,35860.0
Upholsterers,26990,81.7878787878788,37420.0
"Urban and Regional Planners",39880,120.848484848485,78500.0
Urologists,50876,154.169696969697,208000.0
"Ushers, Lobby Attendants, and Ticket Takers",98350,298.030303030303,24440.0
"Validation Engineers",80350,243.484848484848,95300.0
Veterinarians,78810,238.818181818182,100370.0
"Veterinary Assistants and Laboratory Animal Caretakers",111880,339.030303030303,29780.0
"Veterinary Technologists and Technicians",118750,359.848484848485,36850.0
"Video Game Designers",97350,295.0,79890.0
"Waiters and Waitresses",2122210,6430.93939393939,26000.0
"Watch and Clock Repairers",1880,5.6969696969697,44250.0
"Water Resource Specialists",27523,83.4030303030303,137900.0
"Water and Wastewater Treatment Plant and System Operators",119350,361.666666666667,47880.0
"Water/Wastewater Engineers",102523,310.675757575758,88050.0
"Weatherization Installers and Technicians",32900,99.6969696969697,39850.0
"Web Administrators",83264,252.315151515152,95270.0
"Web Developers",88620,268.545454545455,77030.0
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",52610,159.424242424242,37610.0
"Welders, Cutters, Solderers, and Brazers",408990,1239.36363636364,47010.0
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",30940,93.7575757575758,38580.0
"Wellhead Pumpers",14550,44.0909090909091,63740.0
"Wholesale and Retail Buyers, Except Farm Products",459800,1393.33333333333,63470.0
"Wind Energy Development Managers",90548,274.387878787879,124650.0
"Wind Energy Engineers",18802,56.9757575757576,100640.0
"Wind Energy Operations Managers",90548,274.387878787879,124650.0
"Wind Turbine Service Technicians",9830,29.7878787878788,56260.0
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",63680,192.969696969697,36090.0
"Word Processors and Typists",41990,127.242424242424,44030.0
"Writers and Authors",27005,81.8333333333333,69510.0
"Zoologists and Wildlife Biologists",17410,52.7575757575758,64650.0
