"occupation","active_listening","pure_mathematics","reading_comprehension","natural_science","speaking","writing","active_learning","critical_thinking","learning_strategies","monitoring","complex_problem_solving","management_of_financial_resources","management_of_material_resources","management_of_personal_resources","time_management","coordination","instructing","negotiation","persuasion","service_orientation","social_perceptiveness","judgment_and_decision","systems_analysis","systems_evaluation","installation","quality_control_analysis","technology_design","equipment_selection","equipment_maintenance","programming","troubleshooting","operations_monitoring","repairing","operation_and_control","operations_analysis","multitasking","selective_attention","problem_sensitivity","fluency_of_ideas","originality","deductive_reasoning","inductive_reasoning","category_flexibility","information_ordering","perceptual_speed","flexibility_of_closure","speed_of_closure","number_facility","mathematical_reasoning","spatial_orientation","visualization","written_expression","oral_expression","oral_comprehension","written_comprehension","memorization","dynamic_flexibility","gross_body_equilibrium","extent_flexibility","gross_body_coordination","explosive_strength","static_strength","dynamic_strength","trunk_strength","stamina","response_orientation","control_precision","multilimb_coordination","rate_control","arm_hand_steadiness","finger_dexterity","manual_dexterity","speed_of_limb_movement","wrist_finger_speed","reaction_time","speech_clarity","auditory_attention","speech_recognition","sound_localization","hearing_sensitivity","far_vision","glare_sensitivity","night_vision","depth_perception","visual_color_discrimination","peripheral_vision","near_vision","native_language","history_and_archeology","foreign_language","philosophy_and_theology","fine_arts","administration_and_management","economics_and_accounting","customer_and_personal_service","personnel_and_human_resources","administrative","sales_and_marketing","communications_and_media","telecommunications","building_and_construction","engineering_and_technology","mechanical","industrial_design","computers_and_electronics","education_and_training","therapy_and_counseling","medicine_and_dentistry","public_safety_and_security","law_and_government","food_production","production_and_processing","geography","chemistry","applied_mathematics","physics","sociology_and_anthropology","biology","psychology","transportation"
"Advanced Practice Psychiatric Nurses",0.61,0.36,0.61,0.39,0.57,0.57,0.57,0.57,0.52,0.55,0.48,0.25,0.27,0.41,0.5,0.55,0.46,0.54,0.52,0.54,0.64,0.54,0.45,0.45,0,0.09,0.07,0,0,0.07,0,0.23,0,0,0.05,0.39,0.41,0.68,0.46,0.46,0.59,0.61,0.48,0.55,0.41,0.45,0.43,0.39,0.39,0,0.36,0.57,0.64,0.63,0.61,0.37,0,0.2,0,0.2,0.25,0.32,0,0.13,0.21,0.18,0,0,0,0.05,0.3,0,0,0,0.23,0.52,0.29,0.52,0,0.29,0.41,0,0,0.14,0.39,0,0.54,0.76,0.25,0.21,0.61,0.09,0.49,0.22,0.78,0.46,0.5,0.27,0.4,0.2,0,0.15,0.1,0,0.5,0.83,0.98,0.66,0.43,0.52,0,0.22,0.2,0.5,0.48,0.14,0.73,0.61,0.94,0.15
"Advertising Sales Agents",0.57,0.39,0.55,0,0.57,0.48,0.52,0.54,0.37,0.48,0.45,0.27,0.25,0.34,0.43,0.46,0.39,0.55,0.57,0.54,0.52,0.46,0.41,0.39,0,0.11,0.16,0,0,0.16,0,0.29,0,0.29,0.29,0.41,0.41,0.45,0.55,0.48,0.52,0.46,0.46,0.48,0.37,0.39,0.37,0.41,0.41,0.07,0.41,0.54,0.57,0.57,0.55,0.43,0,0,0,0,0,0,0,0.29,0,0.05,0.2,0.13,0.05,0.05,0.16,0,0,0,0.05,0.57,0.27,0.57,0.07,0.25,0.39,0,0,0.25,0.37,0,0.54,0.65,0.14,0,0.21,0.22,0.46,0.37,0.81,0.36,0.63,0.84,0.6,0.27,0,0.23,0.09,0.25,0.6,0.43,0,0,0.17,0.3,0,0.39,0.22,0,0.61,0,0.16,0,0.32,0.18
"Advertising and Promotions Managers",0.59,0.46,0.57,0.09,0.59,0.55,0.59,0.59,0.46,0.61,0.55,0.52,0.37,0.55,0.55,0.59,0.43,0.54,0.55,0.46,0.57,0.57,0.45,0.54,0,0.14,0.11,0,0,0.11,0,0.09,0,0,0.45,0.3,0.39,0.57,0.59,0.55,0.64,0.55,0.55,0.54,0.39,0.45,0.39,0.45,0.45,0,0.45,0.57,0.68,0.63,0.57,0.34,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0.07,0.16,0.05,0,0.11,0,0.55,0.18,0.57,0,0.18,0.45,0,0,0.14,0.39,0,0.59,0.69,0.16,0.15,0.3,0.33,0.63,0.42,0.77,0.44,0.62,0.8,0.74,0.27,0,0.22,0,0.42,0.6,0.55,0.2,0.07,0.31,0.3,0,0.38,0.3,0,0.51,0,0.4,0,0.39,0.23
"Aerospace Engineering and Operations Technologists and Technicians",0.55,0.43,0.54,0.54,0.45,0.45,0.43,0.57,0.41,0.45,0.48,0.23,0.23,0.39,0.46,0.41,0.43,0.37,0.41,0.39,0.43,0.46,0.45,0.45,0.27,0.52,0.2,0.34,0.48,0.23,0.45,0.5,0.43,0.41,0.39,0.39,0.46,0.59,0.45,0.43,0.57,0.57,0.52,0.55,0.48,0.48,0.39,0.43,0.45,0,0.54,0.57,0.57,0.64,0.57,0.41,0,0.11,0.29,0.05,0.07,0.2,0.18,0.27,0,0.14,0.43,0.32,0.18,0.43,0.43,0.43,0,0.21,0.23,0.43,0.41,0.45,0,0.39,0.43,0.11,0,0.32,0.41,0,0.54,0.48,0,0,0,0,0.49,0.18,0.59,0.3,0.56,0,0.21,0.42,0,0.73,0.88,0.56,0.57,0.6,0,0,0.37,0.26,0,0.6,0,0.35,0.69,0.57,0,0,0,0.43
"Aerospace Engineers",0.59,0.68,0.71,0.73,0.61,0.64,0.55,0.66,0.54,0.55,0.61,0.2,0.14,0.43,0.5,0.5,0.46,0.43,0.45,0.39,0.45,0.55,0.57,0.55,0,0.55,0.54,0,0,0,0.36,0.43,0,0,0.71,0.39,0.45,0.59,0.57,0.59,0.68,0.61,0.57,0.57,0.45,0.46,0.37,0.54,0.68,0,0.48,0.68,0.68,0.7,0.73,0.37,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0.29,0,0,0,0,0.45,0.37,0.5,0,0.37,0.45,0,0,0.25,0.43,0,0.55,0.62,0,0,0,0,0.42,0.22,0.45,0.32,0.44,0.18,0.26,0.22,0.31,0.87,0.64,0.77,0.66,0.38,0,0,0.3,0.25,0,0.57,0.11,0.33,0.8,0.69,0.1,0,0,0.4
"Agents and Business Managers of Artists, Performers, and Athletes",0.57,0.29,0.57,0.09,0.57,0.55,0.5,0.54,0.39,0.43,0.48,0.23,0.11,0.45,0.48,0.54,0.41,0.57,0.59,0.48,0.5,0.54,0.36,0.36,0,0,0.05,0,0,0.07,0,0,0,0,0.18,0.34,0.39,0.54,0.48,0.48,0.55,0.54,0.43,0.43,0.2,0.3,0.29,0.32,0.36,0,0.27,0.57,0.61,0.59,0.57,0.29,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0.14,0,0,0,0,0.52,0.21,0.54,0,0.16,0.39,0,0,0,0.21,0,0.54,0.58,0.16,0.22,0,0.54,0.58,0.49,0.68,0.51,0.65,0.67,0.54,0.27,0,0,0,0,0.56,0.49,0.14,0,0.12,0.34,0,0.16,0.29,0,0.51,0,0.33,0,0.36,0.16
"Agricultural Engineers",0.57,0.57,0.66,0.48,0.57,0.61,0.55,0.61,0.45,0.54,0.63,0.34,0.37,0.43,0.52,0.46,0.46,0.43,0.45,0.43,0.46,0.57,0.55,0.55,0,0.36,0.43,0.2,0.13,0.23,0.3,0.46,0.11,0.32,0.46,0.41,0.45,0.61,0.52,0.5,0.61,0.59,0.57,0.57,0.45,0.46,0.39,0.55,0.57,0.13,0.48,0.63,0.66,0.59,0.7,0.37,0,0.07,0.11,0.07,0.07,0.09,0.07,0.14,0.09,0.11,0.29,0.27,0.11,0.14,0.32,0.13,0,0,0.25,0.45,0.39,0.48,0.11,0.32,0.43,0.09,0.11,0.37,0.41,0.11,0.55,0.63,0.28,0.29,0.2,0,0.58,0.41,0.58,0.51,0.48,0.46,0.35,0.31,0.66,0.87,0.65,0.77,0.7,0.58,0.11,0.12,0.52,0.48,0.6,0.56,0.57,0.63,0.79,0.76,0.35,0.65,0.36,0.46
"Agricultural Equipment Operators",0.41,0.16,0.27,0.09,0.37,0.25,0.27,0.39,0.14,0.32,0.34,0.07,0.11,0.32,0.3,0.36,0.29,0.2,0.25,0.23,0.3,0.3,0.2,0.18,0.05,0.39,0.07,0.29,0.43,0,0.43,0.52,0.43,0.54,0,0.3,0.41,0.43,0.3,0.2,0.41,0.39,0.39,0.43,0.39,0.37,0.29,0.14,0.13,0.29,0.39,0.29,0.45,0.5,0.36,0.2,0.05,0.23,0.43,0.29,0.18,0.45,0.23,0.45,0.32,0.46,0.55,0.55,0.45,0.41,0.41,0.43,0.27,0.3,0.48,0.39,0.39,0.39,0.29,0.5,0.46,0.25,0.2,0.46,0.37,0.29,0.46,0.41,0.16,0,0,0,0.23,0.14,0.32,0.15,0,0.17,0.26,0.27,0,0.25,0.4,0.27,0.27,0.31,0.13,0,0.37,0.31,0,0,0,0.4,0.35,0.31,0.13,0.22,0.17,0.36
"Agricultural Inspectors",0.52,0.39,0.57,0.39,0.55,0.52,0.48,0.57,0.43,0.59,0.46,0.11,0.14,0.32,0.41,0.43,0.41,0.39,0.41,0.41,0.39,0.48,0.46,0.46,0,0.55,0.11,0,0,0.07,0.21,0.48,0,0.34,0.2,0.37,0.45,0.57,0.37,0.36,0.55,0.55,0.52,0.43,0.46,0.54,0.43,0.32,0.32,0.29,0.43,0.5,0.55,0.55,0.54,0.32,0,0.14,0.27,0.27,0,0.29,0.16,0.29,0.25,0.23,0.34,0.34,0.25,0.39,0.32,0.3,0.25,0.18,0.3,0.43,0.45,0.46,0.13,0.29,0.46,0.21,0.13,0.29,0.37,0.13,0.54,0.47,0,0.17,0.16,0,0.51,0.25,0.64,0.4,0.49,0.17,0.28,0.21,0.18,0.29,0.33,0.2,0.49,0.48,0.17,0.12,0.48,0.52,0.49,0.47,0.33,0.33,0.52,0.11,0.18,0.32,0.3,0.37
"Agricultural Sciences Teachers, Postsecondary",0.66,0.46,0.71,0.52,0.71,0.71,0.64,0.59,0.66,0.61,0.55,0.18,0.25,0.41,0.5,0.46,0.68,0.37,0.41,0.43,0.48,0.57,0.46,0.48,0,0.27,0.11,0,0,0.13,0.13,0.2,0,0.16,0.21,0.29,0.32,0.54,0.54,0.54,0.61,0.61,0.45,0.55,0.3,0.34,0.3,0.45,0.46,0,0.29,0.7,0.8,0.71,0.7,0.43,0,0.07,0.14,0.11,0.05,0.14,0.13,0.29,0.13,0.07,0.25,0.18,0.11,0.16,0.29,0.16,0,0.14,0.11,0.71,0.21,0.57,0,0.16,0.45,0,0,0.14,0.18,0,0.48,0.74,0.4,0.29,0.39,0.14,0.56,0.45,0.68,0.53,0.57,0.41,0.56,0.3,0.27,0.49,0.39,0.43,0.65,0.85,0.27,0.18,0.48,0.38,0.58,0.36,0.61,0.53,0.66,0.44,0.34,0.77,0.4,0.43
"Agricultural Technicians",0.48,0.43,0.55,0.43,0.45,0.52,0.43,0.57,0.43,0.46,0.5,0.18,0.23,0.43,0.43,0.43,0.43,0.37,0.37,0.39,0.43,0.43,0.41,0.39,0,0.14,0.13,0.14,0.11,0.11,0.3,0.43,0.18,0.37,0,0.39,0.37,0.54,0.43,0.43,0.5,0.52,0.46,0.46,0.39,0.43,0.29,0.43,0.43,0.2,0.37,0.54,0.57,0.57,0.57,0.34,0,0.18,0.27,0.2,0,0.32,0.09,0.29,0.2,0.27,0.43,0.41,0.27,0.43,0.43,0.41,0.13,0.2,0.3,0.43,0.32,0.43,0.16,0.3,0.45,0.21,0.21,0.37,0.45,0.23,0.57,0.59,0.24,0.14,0.11,0,0.58,0.19,0.36,0.54,0.64,0.23,0.36,0.11,0.22,0.43,0.45,0.32,0.67,0.58,0.14,0.17,0.38,0.35,0.38,0.35,0.66,0.63,0.65,0.43,0.13,0.68,0.29,0.34
"Air Traffic Controllers",0.57,0.43,0.57,0.21,0.55,0.45,0.54,0.59,0.48,0.61,0.64,0.11,0.13,0.39,0.5,0.57,0.48,0.32,0.41,0.48,0.46,0.59,0.46,0.46,0,0.37,0.11,0,0,0.11,0.27,0.45,0,0.34,0.41,0.8,0.7,0.66,0.54,0.5,0.63,0.57,0.57,0.59,0.63,0.64,0.7,0.46,0.45,0.14,0.64,0.48,0.68,0.66,0.55,0.43,0,0,0,0,0,0,0,0.16,0,0.13,0.41,0.05,0.09,0.34,0.43,0.29,0,0,0.14,0.57,0.55,0.63,0.13,0.39,0.61,0.2,0.3,0.37,0.43,0.11,0.59,0.58,0,0,0,0,0.41,0.12,0.71,0.31,0.32,0,0.36,0.43,0,0.3,0.15,0.27,0.52,0.7,0.16,0,0.64,0.38,0,0.23,0.63,0,0.51,0.32,0,0,0.42,0.74
"Aircraft Cargo Handling Supervisors",0.43,0.41,0.43,0.07,0.45,0.46,0.41,0.5,0.52,0.55,0.41,0.13,0.29,0.54,0.5,0.5,0.43,0.36,0.39,0.37,0.46,0.43,0.39,0.37,0,0.36,0.11,0.23,0.27,0.09,0.29,0.34,0.27,0.37,0.21,0.45,0.5,0.5,0.43,0.43,0.45,0.43,0.43,0.45,0.45,0.45,0.43,0.43,0.41,0.29,0.52,0.41,0.55,0.55,0.43,0.34,0.13,0.27,0.45,0.32,0.16,0.54,0.32,0.43,0.36,0.37,0.43,0.43,0.36,0.37,0.39,0.45,0.29,0.29,0.43,0.46,0.46,0.43,0.25,0.39,0.46,0.32,0.18,0.43,0.41,0.29,0.46,0.62,0,0.31,0,0,0.62,0.31,0.8,0.55,0.61,0.27,0.37,0.44,0.13,0.36,0.36,0.18,0.58,0.63,0.25,0,0.7,0.46,0,0.5,0.5,0.22,0.56,0.3,0.13,0.17,0.46,0.62
"Aircraft Mechanics and Service Technicians",0.48,0.32,0.57,0.37,0.46,0.43,0.45,0.57,0.41,0.45,0.55,0.09,0.27,0.32,0.43,0.43,0.43,0.3,0.39,0.41,0.43,0.48,0.46,0.46,0.3,0.55,0.18,0.43,0.68,0.07,0.57,0.57,0.61,0.46,0.3,0.41,0.45,0.57,0.43,0.41,0.55,0.55,0.52,0.57,0.52,0.52,0.43,0.32,0.39,0.29,0.57,0.45,0.54,0.55,0.59,0.36,0.05,0.27,0.48,0.3,0,0.43,0.3,0.43,0.32,0.43,0.57,0.55,0.41,0.54,0.59,0.59,0.3,0.3,0.46,0.43,0.45,0.43,0.29,0.48,0.45,0.27,0.27,0.43,0.55,0.18,0.59,0.43,0,0,0,0,0.37,0.14,0.51,0.18,0.36,0.19,0.14,0.22,0.26,0.57,0.98,0.46,0.41,0.41,0.12,0,0.46,0.33,0,0.43,0.11,0.52,0.53,0.49,0,0,0.3,0.46
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",0.45,0.39,0.45,0.21,0.43,0.43,0.43,0.45,0.41,0.45,0.41,0.2,0.23,0.34,0.43,0.41,0.41,0.32,0.32,0.34,0.32,0.43,0.41,0.37,0.43,0.54,0.27,0.41,0.43,0.14,0.41,0.43,0.45,0.41,0.2,0.36,0.48,0.48,0.41,0.36,0.46,0.43,0.43,0.52,0.43,0.41,0.34,0.37,0.3,0.25,0.55,0.39,0.45,0.54,0.52,0.29,0,0.32,0.5,0.3,0.16,0.39,0.3,0.43,0.29,0.34,0.48,0.45,0.27,0.45,0.55,0.46,0.23,0.3,0.39,0.41,0.43,0.43,0.27,0.41,0.43,0.27,0.2,0.39,0.45,0.25,0.5,0.45,0,0,0,0,0.39,0.23,0.41,0.31,0.23,0.2,0.23,0.17,0.25,0.41,0.54,0.45,0.39,0.54,0.17,0.15,0.42,0.25,0,0.51,0.27,0.33,0.45,0.28,0,0,0.23,0.3
"Airfield Operations Specialists",0.57,0.3,0.57,0.11,0.55,0.46,0.46,0.55,0.45,0.59,0.46,0.11,0.25,0.43,0.43,0.57,0.45,0.43,0.41,0.43,0.43,0.46,0.43,0.45,0,0.34,0.13,0,0,0.05,0.16,0.41,0,0.39,0.39,0.43,0.48,0.61,0.43,0.43,0.57,0.5,0.45,0.54,0.45,0.45,0.39,0.3,0.34,0.34,0.43,0.54,0.57,0.57,0.57,0.3,0,0.16,0.18,0.16,0.05,0.16,0.14,0.25,0.13,0.3,0.41,0.3,0.14,0.29,0.3,0.32,0.09,0.14,0.29,0.43,0.46,0.45,0.21,0.34,0.57,0.3,0.29,0.37,0.39,0.3,0.54,0.55,0.09,0.14,0,0,0.55,0.18,0.63,0.43,0.56,0.2,0.46,0.42,0.27,0.34,0.4,0.29,0.52,0.68,0.15,0.17,0.65,0.43,0,0.29,0.4,0.23,0.39,0.24,0,0.28,0.26,0.63
"Airline Pilots, Copilots, and Flight Engineers",0.61,0.5,0.59,0.39,0.54,0.46,0.59,0.59,0.45,0.61,0.52,0.14,0.25,0.45,0.55,0.54,0.57,0.37,0.37,0.41,0.46,0.61,0.46,0.46,0,0.43,0.09,0,0.18,0.07,0.45,0.7,0,0.8,0.29,0.61,0.59,0.71,0.45,0.43,0.63,0.61,0.48,0.59,0.61,0.59,0.57,0.52,0.45,0.66,0.57,0.46,0.63,0.68,0.59,0.45,0,0.27,0.36,0.11,0.07,0.3,0.13,0.2,0.09,0.8,0.64,0.61,0.71,0.54,0.45,0.46,0.39,0.39,0.71,0.55,0.57,0.57,0.41,0.57,0.77,0.61,0.55,0.63,0.48,0.57,0.63,0.59,0,0,0,0,0.49,0,0.45,0.2,0.17,0,0.23,0.29,0,0.4,0.57,0.18,0.55,0.42,0.13,0.1,0.55,0.41,0,0,0.66,0.24,0.49,0.47,0.15,0,0.54,0.86
